Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,Latency,Model
2024-11-01 18:40:13.885493+00:00,2024-11-01 18:40:14.204017+00:00,2024-11-01 18:40:14.216120+00:00,1.jpg,499x381,0.7289,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0729,Resnet-18
2024-11-01 18:40:14.619218+00:00,2024-11-01 18:40:14.634440+00:00,2024-11-01 18:40:14.657542+00:00,cat_0.jpg,640x481,0.3664,18.534,"tabby, tabby cat","tabby, tabby cat",0.0366,Resnet-18
2024-11-01 18:40:14.988417+00:00,2024-11-01 18:40:14.996605+00:00,2024-11-01 18:40:15.019536+00:00,cat_1.jpg,441x350,0.5437,64.716,"tabby, tabby cat","tabby, tabby cat",0.0544,Resnet-18
2024-11-01 18:40:15.540535+00:00,2024-11-01 18:40:15.558158+00:00,2024-11-01 18:40:15.593966+00:00,cat_2.jpg,356x500,0.4152,99.256,Persian cat,Persian cat,0.0415,Resnet-18
2024-11-01 18:40:15.958299+00:00,2024-11-01 18:40:15.971756+00:00,2024-11-01 18:40:15.995590+00:00,dog_0.jpg,375x500,0.3602,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.036,Resnet-18
2024-11-01 18:40:16.324453+00:00,2024-11-01 18:40:16.355903+00:00,2024-11-01 18:40:16.384353+00:00,dog_1.jpg,375x500,0.4163,63.549,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0416,Resnet-18
2024-11-01 18:40:16.743908+00:00,2024-11-01 18:40:16.749291+00:00,2024-11-01 18:40:16.764052+00:00,1.jpg,499x381,0.323,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0323,Resnet-18
2024-11-01 18:40:17.071323+00:00,2024-11-01 18:40:17.082880+00:00,2024-11-01 18:40:17.105820+00:00,cat_0.jpg,640x481,0.4198,18.534,"tabby, tabby cat","tabby, tabby cat",0.042,Resnet-18
2024-11-01 18:40:17.494509+00:00,2024-11-01 18:40:17.499242+00:00,2024-11-01 18:40:17.526392+00:00,cat_1.jpg,441x350,0.3415,64.716,"tabby, tabby cat","tabby, tabby cat",0.0342,Resnet-18
2024-11-01 18:40:17.839543+00:00,2024-11-01 18:40:17.848035+00:00,2024-11-01 18:40:17.868145+00:00,cat_2.jpg,356x500,0.3491,99.256,Persian cat,Persian cat,0.0349,Resnet-18
