Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,Latency,Model
2024-11-01 18:37:25.157632+00:00,2024-11-01 18:37:26.300441+00:00,2024-11-01 18:37:28.788996+00:00,1.jpg,499x381,44.5974,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",5.5747,Resnet-18
2024-11-01 18:38:11.626403+00:00,2024-11-01 18:38:11.894680+00:00,2024-11-01 18:38:13.421872+00:00,cat_0.jpg,640x481,2.789,18.534,"tabby, tabby cat","tabby, tabby cat",0.3486,Resnet-18
2024-11-01 18:38:14.491678+00:00,2024-11-01 18:38:14.546196+00:00,2024-11-01 18:38:15.095478+00:00,cat_1.jpg,441x350,0.6241,64.715,"tabby, tabby cat","tabby, tabby cat",0.078,Resnet-18
2024-11-01 18:38:15.192856+00:00,2024-11-01 18:38:15.203432+00:00,2024-11-01 18:38:15.226932+00:00,cat_2.jpg,356x500,0.0551,99.256,Persian cat,Persian cat,0.0069,Resnet-18
2024-11-01 18:38:15.291375+00:00,2024-11-01 18:38:15.305670+00:00,2024-11-01 18:38:15.325796+00:00,dog_0.jpg,375x500,0.0507,89.873,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",0.0063,Resnet-18
2024-11-01 18:38:15.381859+00:00,2024-11-01 18:38:15.393824+00:00,2024-11-01 18:38:15.404111+00:00,dog_1.jpg,375x500,0.0387,63.55,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",0.0048,Resnet-18
2024-11-01 18:38:15.443441+00:00,2024-11-01 18:38:15.450311+00:00,2024-11-01 18:38:15.460485+00:00,1.jpg,499x381,0.0338,27.209,"Cardigan, Cardigan Welsh corgi","Cardigan, Cardigan Welsh corgi",0.0042,Resnet-18
2024-11-01 18:38:15.497463+00:00,2024-11-01 18:38:15.516594+00:00,2024-11-01 18:38:15.536073+00:00,cat_0.jpg,640x481,0.0573,18.534,"tabby, tabby cat","tabby, tabby cat",0.0072,Resnet-18
2024-11-01 18:38:15.572647+00:00,2024-11-01 18:38:15.578453+00:00,2024-11-01 18:38:15.588249+00:00,cat_1.jpg,441x350,0.0337,64.715,"tabby, tabby cat","tabby, tabby cat",0.0042,Resnet-18
2024-11-01 18:38:15.625774+00:00,2024-11-01 18:38:15.634485+00:00,2024-11-01 18:38:15.645050+00:00,cat_2.jpg,356x500,0.0395,99.256,Persian cat,Persian cat,0.0049,Resnet-18
