time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
2024-11-01T18:40:10.390841,04:07:48,45,14,16,23,0.3435854987633153,0.016232506020074863,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42.5,37.5,37,36.5,37.5,490,40,1922,OFF,MAXN
2024-11-01T18:40:11.393601,04:07:49,12,6,22,5,0.3436850247829643,0.016232506020074863,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42.5,37.5,38.5,36.5,38.25,490,0,1881,OFF,MAXN
2024-11-01T18:40:12.386538,04:07:50,9,5,23,5,0.3436879810013697,0.016232506020074863,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42.5,37.5,38.5,36.5,37.75,450,0,1799,OFF,MAXN
2024-11-01T18:40:13.393115,04:07:51,8,3,2,24,0.3437136015608833,0.016232506020074863,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,42,38,38.5,36.5,37.75,490,0,1881,OFF,MAXN
2024-11-01T18:40:14.483918,04:07:52,47,19,19,26,0.3461593795882973,0.016232506020074863,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43,39.5,39.5,37.5,37.75,3049,0,4943,OFF,MAXN
2024-11-01T18:40:15.490940,04:07:53,100,100,100,100,0.3465003301110553,0.016221062,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,39.5,40,38,39.75,2697,0,4038,OFF,MAXN
2024-11-01T18:40:16.416464,04:07:54,100,100,100,100,0.3464303662754604,0.016207710464201417,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40.5,40,38,39.5,2974,0,4508,OFF,MAXN
2024-11-01T18:40:17.481979,04:07:55,100,99,100,99,0.3466422285945152,0.016206756788975516,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40,40.5,38.5,40.5,3129,0,4823,OFF,MAXN
2024-11-01T18:40:18.449985,04:07:56,100,100,100,100,0.3465505858239473,0.016206756788975516,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,43.5,40,40,38,40.5,3365,0,4975,OFF,MAXN
2024-11-01T18:40:19.469400,04:07:57,100,100,100,99,0.3466106955981908,0.016206756788975516,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,40.5,38.5,40.75,3170,0,4975,OFF,MAXN
2024-11-01T18:40:20.474726,04:07:58,100,100,100,100,0.3466412431883801,0.016206756788975516,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40.5,40.5,38.5,40.5,3054,0,4702,OFF,MAXN
2024-11-01T18:40:21.476272,04:07:59,100,100,99,100,0.346761463,0.016205803,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40.5,40.5,38.5,40.5,3014,0,4943,OFF,MAXN
2024-11-01T18:40:22.417076,04:08:00,99,100,100,100,0.3466392723761098,0.016204849,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40,41,39,40.75,2934,0,4435,OFF,MAXN
2024-11-01T18:40:23.468389,04:08:01,100,100,100,100,0.3466382869699747,0.016204849,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40.5,40.5,38.5,41,3094,0,4782,OFF,MAXN
2024-11-01T18:40:24.474781,04:08:02,100,100,100,100,0.34651018417240664,0.016204849,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40.5,41,39,41,3054,0,4742,OFF,MAXN
2024-11-01T18:40:25.475358,04:08:03,100,99,100,99,0.34666292212335315,0.016204849,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,41,41,39,40.25,2974,0,4855,OFF,MAXN
2024-11-01T18:40:26.479531,04:08:04,100,99,100,100,0.34675259408165077,0.016204849,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,40.5,41,39,41,3134,0,4823,OFF,MAXN
2024-11-01T18:40:27.502507,04:08:05,100,100,100,100,0.3468136892620293,0.016204849,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44,40.5,40.5,38.5,41.25,3094,0,4855,OFF,MAXN
2024-11-01T18:40:28.473860,04:08:06,99,100,100,100,0.3467821562657049,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,40.5,41,39,40.75,2974,0,4943,OFF,MAXN
2024-11-01T18:40:29.499137,04:08:07,100,99,99,100,0.34656832313437985,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45,40.5,40.5,38.5,41.25,3089,0,4742,OFF,MAXN
2024-11-01T18:40:30.460326,04:08:08,100,99,99,100,0.34665996590494774,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41,41,39,41.25,3009,0,4823,OFF,MAXN
2024-11-01T18:40:31.433195,04:08:09,100,99,100,99,0.3466648929356234,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41,41,39,41,2974,0,4782,OFF,MAXN
2024-11-01T18:40:32.490137,04:08:10,100,100,99,99,0.3466865718705965,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41,41,39,41,3134,0,4823,OFF,MAXN
2024-11-01T18:40:33.464580,04:08:11,99,100,100,100,0.34662547669021787,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45,41,41,39,41,2777,0,4742,OFF,MAXN
2024-11-01T18:40:34.497916,04:08:12,100,100,100,100,0.34662547669021787,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41,41,39,40.75,2889,0,4823,OFF,MAXN
2024-11-01T18:40:35.480969,04:08:13,99,100,100,100,0.34647273873927137,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41.5,41,39,41.25,3054,0,4742,OFF,MAXN
2024-11-01T18:40:36.503384,04:08:14,100,100,100,98,0.34662449128408274,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45,41.5,41,39,41.75,3089,0,4863,OFF,MAXN
2024-11-01T18:40:37.509328,04:08:15,99,100,100,100,0.34659197288162313,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,44.5,41.5,41,39,41.25,3129,0,5016,OFF,MAXN
2024-11-01T18:40:38.505147,04:08:16,100,100,100,100,0.3467821562657049,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45,41.5,41,39,41.75,3054,0,4903,OFF,MAXN
2024-11-01T18:40:39.506353,04:08:17,100,100,100,99,0.3466826302460559,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41,41.5,39.5,41.75,2929,0,4895,OFF,MAXN
2024-11-01T18:40:40.495412,04:08:18,99,100,100,100,0.3465604398852987,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41,41,39,41.75,2934,0,4508,OFF,MAXN
2024-11-01T18:40:41.455923,04:08:19,99,100,99,100,0.34661956425340706,0.016203896,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41.5,41.5,39.5,41.75,3210,0,4709,OFF,MAXN
2024-11-01T18:40:42.524373,04:08:20,100,99,99,99,0.346533834,0.016202942,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,45.5,41.5,41.5,39.5,41.75,3049,0,5056,OFF,MAXN
