Model,time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
Resnet-18,2024-11-01T18:37:22.206832,04:05:00,28,33,28,28,0.4584030508173944,0.2787812030612975,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37.5,35.5,35,35.75,653,40,2245,OFF,MAXN
Resnet-18,2024-11-01T18:37:23.207547,04:05:01,11,21,6,2,0.458528197,0.2787812030612975,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36,37,35,36.5,613,0,2041,OFF,MAXN
Resnet-18,2024-11-01T18:37:24.198336,04:05:02,8,25,6,3,0.458528197,0.2787812030612975,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,37,36.5,34.5,36.75,612,0,2044,OFF,MAXN
Resnet-18,2024-11-01T18:37:25.219488,04:05:03,11,25,7,3,0.45848385412047576,0.2787421023770355,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36,37,35,36.75,936,0,2564,OFF,MAXN
Resnet-18,2024-11-01T18:37:26.201818,04:05:04,57,36,21,25,0.4580532316394202,0.28280762,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,37,35,36.75,1178,0,2966,OFF,MAXN
Resnet-18,2024-11-01T18:37:27.203135,04:05:05,80,20,16,20,0.456018368,0.2819845981451017,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,37,35,36.5,773,0,2645,OFF,MAXN
Resnet-18,2024-11-01T18:37:28.208051,04:05:06,86,15,17,28,0.4521003931770479,0.28658894213575564,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36,37,35,36.5,773,0,2609,OFF,MAXN
Resnet-18,2024-11-01T18:37:29.211614,04:05:07,63,38,8,23,0.4500290694809866,0.2907059580859738,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41,36.5,35.5,35,36.5,691,40,2605,OFF,MAXN
Resnet-18,2024-11-01T18:37:30.209337,04:05:08,51,30,38,15,0.45241473773415714,0.2886011968624085,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,35.75,1217,81,3088,OFF,MAXN
Resnet-18,2024-11-01T18:37:31.210417,04:05:09,25,36,59,22,0.45888491441747714,0.29153851655818613,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,35.5,35,36,1176,40,3164,OFF,MAXN
Resnet-18,2024-11-01T18:37:32.212644,04:05:10,39,54,41,15,0.45981119618450744,0.31635600696182914,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,37,35,35.75,732,0,2605,OFF,MAXN
Resnet-18,2024-11-01T18:37:33.207286,04:05:11,50,25,49,23,0.4654881209290409,0.31635600696182914,0,0,28.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,37,36,35.5,36.5,1176,121,3088,OFF,MAXN
Resnet-18,2024-11-01T18:37:34.214924,04:05:12,36,22,22,49,0.4680846660951311,0.31635505328660324,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,41.5,36.5,35.5,35.5,36.5,1217,81,3164,OFF,MAXN
