Loaded PyTorch resnet18 pretrained on ImageNet

Benchmarking at Target FPS: 1

{'time': datetime.datetime(2024, 12, 12, 15, 29, 48, 299795), 'uptime': datetime.timedelta(0, 3278, 320000), 'CPU1': 72, 'CPU2': 59, 'CPU3': 50, 'CPU4': 69, 'RAM': 0.9094185118396547, 'SWAP': 0.14833559831199486, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.5, 'Temp GPU': 38.5, 'Temp PLL': 38.0, 'Temp thermal': 38.0, 'Power POM_5V_CPU': 1456, 'Power POM_5V_GPU': 161, 'Power TOT': 3397, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 49, 302686), 'uptime': datetime.timedelta(0, 3279, 320000), 'CPU1': 61, 'CPU2': 59, 'CPU3': 36, 'CPU4': 68, 'RAM': 0.9088282535647066, 'SWAP': 0.14833273728631716, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.5, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 39.0, 'Power POM_5V_CPU': 1296, 'Power POM_5V_GPU': 0, 'Power TOT': 3124, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 12, 12, 15, 29, 50, 305492), 'uptime': datetime.timedelta(0, 3281, 330000), 'CPU1': 59, 'CPU2': 61, 'CPU3': 30, 'CPU4': 66, 'RAM': 0.9078044165902976, 'SWAP': 0.14833178361109126, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.0, 'Temp GPU': 37.5, 'Temp PLL': 38.0, 'Temp thermal': 38.0, 'Power POM_5V_CPU': 1217, 'Power POM_5V_GPU': 81, 'Power TOT': 2921, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 51, 307800), 'uptime': datetime.timedelta(0, 3282, 330000), 'CPU1': 46, 'CPU2': 32, 'CPU3': 23, 'CPU4': 26, 'RAM': 0.9076024083325943, 'SWAP': 0.14833178361109126, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.0, 'Temp CPU': 38.5, 'Temp GPU': 39.5, 'Temp PLL': 37.5, 'Temp thermal': 38.0, 'Power POM_5V_CPU': 1178, 'Power POM_5V_GPU': 0, 'Power TOT': 2722, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 52, 310061), 'uptime': datetime.timedelta(0, 3283, 330000), 'CPU1': 40, 'CPU2': 28, 'CPU3': 30, 'CPU4': 32, 'RAM': 0.9077147446320001, 'SWAP': 0.14833082993586535, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.0, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 38.0, 'Power POM_5V_CPU': 1298, 'Power POM_5V_GPU': 0, 'Power TOT': 2844, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 53, 312158), 'uptime': datetime.timedelta(0, 3284, 330000), 'CPU1': 32, 'CPU2': 36, 'CPU3': 35, 'CPU4': 21, 'RAM': 0.9075846710221618, 'SWAP': 0.14833082993586535, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.0, 'Temp CPU': 38.5, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 39.25, 'Power POM_5V_CPU': 1219, 'Power POM_5V_GPU': 0, 'Power TOT': 2763, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 54, 314529), 'uptime': datetime.timedelta(0, 3285, 330000), 'CPU1': 39, 'CPU2': 52, 'CPU3': 14, 'CPU4': 20, 'RAM': 0.9075846710221618, 'SWAP': 0.14833082993586535, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.5, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 39.5, 'Power POM_5V_CPU': 1259, 'Power POM_5V_GPU': 0, 'Power TOT': 2804, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 55, 316121), 'uptime': datetime.timedelta(0, 3286, 330000), 'CPU1': 33, 'CPU2': 35, 'CPU3': 34, 'CPU4': 24, 'RAM': 0.9075344153092697, 'SWAP': 0.14833082993586535, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.0, 'Temp CPU': 38.5, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 39.25, 'Power POM_5V_CPU': 1219, 'Power POM_5V_GPU': 0, 'Power TOT': 2844, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 56, 318471), 'uptime': datetime.timedelta(0, 3287, 340000), 'CPU1': 59, 'CPU2': 15, 'CPU3': 15, 'CPU4': 46, 'RAM': 0.9074989406884048, 'SWAP': 0.1483108027561214, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.5, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 39.25, 'Power POM_5V_CPU': 1259, 'Power POM_5V_GPU': 0, 'Power TOT': 2804, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 15, 29, 57, 320064), 'uptime': datetime.timedelta(0, 3288, 340000), 'CPU1': 24, 'CPU2': 18, 'CPU3': 35, 'CPU4': 49, 'RAM': 0.9076211310491619, 'SWAP': 0.1483108027561214, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 43.5, 'Temp CPU': 38.5, 'Temp GPU': 40.0, 'Temp PLL': 38.0, 'Temp thermal': 39.25, 'Power POM_5V_CPU': 1178, 'Power POM_5V_GPU': 0, 'Power TOT': 2682, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
