Loaded PyTorch resnet50 pretrained on ImageNet

Benchmarking at Target FPS: 1

{'time': datetime.datetime(2024, 12, 12, 16, 24, 50, 180504), 'uptime': datetime.timedelta(0, 6580, 230000), 'CPU1': 59, 'CPU2': 49, 'CPU3': 52, 'CPU4': 89, 'RAM': 0.9272898375065283, 'SWAP': 0.19203776553894572, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 48.0, 'Temp CPU': 43.5, 'Temp GPU': 42.5, 'Temp PLL': 42.5, 'Temp thermal': 42.75, 'Power POM_5V_CPU': 1615, 'Power POM_5V_GPU': 201, 'Power TOT': 3599, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 51, 187475), 'uptime': datetime.timedelta(0, 6581, 230000), 'CPU1': 50, 'CPU2': 61, 'CPU3': 62, 'CPU4': 56, 'RAM': 0.925196834875494, 'SWAP': 0.19202441408578308, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 47.5, 'Temp CPU': 43.0, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 42.75, 'Power POM_5V_CPU': 1336, 'Power POM_5V_GPU': 0, 'Power TOT': 3321, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 12, 12, 16, 24, 52, 192311), 'uptime': datetime.timedelta(0, 6583, 230000), 'CPU1': 69, 'CPU2': 66, 'CPU3': 38, 'CPU4': 56, 'RAM': 0.922808210403918, 'SWAP': 0.19200247955558736, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 48.0, 'Temp CPU': 43.0, 'Temp GPU': 41.5, 'Temp PLL': 42.5, 'Temp thermal': 42.25, 'Power POM_5V_CPU': 1336, 'Power POM_5V_GPU': 81, 'Power TOT': 3083, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 53, 194646), 'uptime': datetime.timedelta(0, 6584, 230000), 'CPU1': 31, 'CPU2': 37, 'CPU3': 25, 'CPU4': 33, 'RAM': 0.9225401799351602, 'SWAP': 0.19200247955558736, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 47.5, 'Temp CPU': 42.5, 'Temp GPU': 44.0, 'Temp PLL': 42.0, 'Temp thermal': 42.25, 'Power POM_5V_CPU': 1298, 'Power POM_5V_GPU': 0, 'Power TOT': 2885, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 54, 196107), 'uptime': datetime.timedelta(0, 6585, 240000), 'CPU1': 41, 'CPU2': 17, 'CPU3': 25, 'CPU4': 45, 'RAM': 0.9226623702959175, 'SWAP': 0.19200247955558736, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 48.0, 'Temp CPU': 43.0, 'Temp GPU': 44.0, 'Temp PLL': 42.0, 'Temp thermal': 42.25, 'Power POM_5V_CPU': 1298, 'Power POM_5V_GPU': 0, 'Power TOT': 2844, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 55, 198419), 'uptime': datetime.timedelta(0, 6586, 240000), 'CPU1': 34, 'CPU2': 41, 'CPU3': 22, 'CPU4': 33, 'RAM': 0.9225993043032686, 'SWAP': 0.19200057220513553, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 47.5, 'Temp CPU': 43.0, 'Temp GPU': 44.0, 'Temp PLL': 42.0, 'Temp thermal': 42.25, 'Power POM_5V_CPU': 1257, 'Power POM_5V_GPU': 0, 'Power TOT': 2885, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 56, 200137), 'uptime': datetime.timedelta(0, 6587, 240000), 'CPU1': 37, 'CPU2': 30, 'CPU3': 31, 'CPU4': 32, 'RAM': 0.92253820912289, 'SWAP': 0.19200057220513553, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 47.5, 'Temp CPU': 43.0, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 41.75, 'Power POM_5V_CPU': 1257, 'Power POM_5V_GPU': 0, 'Power TOT': 2844, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 57, 202487), 'uptime': datetime.timedelta(0, 6588, 240000), 'CPU1': 31, 'CPU2': 17, 'CPU3': 43, 'CPU4': 36, 'RAM': 0.9217429863718332, 'SWAP': 0.19200057220513553, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 48.0, 'Temp CPU': 42.5, 'Temp GPU': 44.0, 'Temp PLL': 42.0, 'Temp thermal': 43.25, 'Power POM_5V_CPU': 1257, 'Power POM_5V_GPU': 0, 'Power TOT': 2885, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 58, 204110), 'uptime': datetime.timedelta(0, 6589, 240000), 'CPU1': 33, 'CPU2': 22, 'CPU3': 43, 'CPU4': 29, 'RAM': 0.9220179146835368, 'SWAP': 0.19200057220513553, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 48.0, 'Temp CPU': 42.5, 'Temp GPU': 44.5, 'Temp PLL': 42.5, 'Temp thermal': 43.5, 'Power POM_5V_CPU': 1298, 'Power POM_5V_GPU': 0, 'Power TOT': 2844, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 24, 59, 206458), 'uptime': datetime.timedelta(0, 6590, 240000), 'CPU1': 42, 'CPU2': 16, 'CPU3': 33, 'CPU4': 30, 'RAM': 0.9219647027522393, 'SWAP': 0.19200057220513553, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 48.0, 'Temp CPU': 42.5, 'Temp GPU': 44.0, 'Temp PLL': 42.0, 'Temp thermal': 43.5, 'Power POM_5V_CPU': 1219, 'Power POM_5V_GPU': 0, 'Power TOT': 2804, 'jetson_clocks': 'OFF', 'nvp model': 'MAXN'}
