Loaded PyTorch resnext50 pretrained on ImageNet

Benchmarking at Target FPS: 1

{'time': datetime.datetime(2024, 12, 12, 17, 17, 12, 212850), 'uptime': datetime.timedelta(0, 9722, 890000), 'CPU1': 32, 'CPU2': 57, 'CPU3': 18, 'CPU4': 50, 'RAM': 0.9474088745676531, 'SWAP': 0.17471044035953556, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 38.5, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 37.5, 'Power POM_5V_CPU': 892, 'Power POM_5V_GPU': 162, 'Power TOT': 2844, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 13, 217548), 'uptime': datetime.timedelta(0, 9723, 890000), 'CPU1': 46, 'CPU2': 32, 'CPU3': 39, 'CPU4': 29, 'RAM': 0.9480011036548713, 'SWAP': 0.17465798822211095, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 42.0, 'Temp CPU': 38.5, 'Temp GPU': 37.0, 'Temp PLL': 37.0, 'Temp thermal': 37.25, 'Power POM_5V_CPU': 1375, 'Power POM_5V_GPU': 162, 'Power TOT': 3362, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 12, 12, 17, 17, 14, 220156), 'uptime': datetime.timedelta(0, 9724, 890000), 'CPU1': 10, 'CPU2': 22, 'CPU3': 65, 'CPU4': 32, 'RAM': 0.9440614499265872, 'SWAP': 0.1746808764275326, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 42.0, 'Temp CPU': 38.0, 'Temp GPU': 37.0, 'Temp PLL': 36.5, 'Temp thermal': 37.0, 'Power POM_5V_CPU': 973, 'Power POM_5V_GPU': 162, 'Power TOT': 2804, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 15, 222459), 'uptime': datetime.timedelta(0, 9725, 890000), 'CPU1': 6, 'CPU2': 4, 'CPU3': 6, 'CPU4': 4, 'RAM': 0.9441117056394793, 'SWAP': 0.174677061726629, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 16, 224777), 'uptime': datetime.timedelta(0, 9726, 900000), 'CPU1': 12, 'CPU2': 34, 'CPU3': 51, 'CPU4': 17, 'RAM': 0.9479390230683576, 'SWAP': 0.17314069093770115, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.5, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 1014, 'Power POM_5V_GPU': 162, 'Power TOT': 2804, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 17, 227027), 'uptime': datetime.timedelta(0, 9727, 900000), 'CPU1': 6, 'CPU2': 4, 'CPU3': 3, 'CPU4': 7, 'RAM': 0.9478986214168169, 'SWAP': 0.17313782991202345, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.5, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 37.75, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 18, 229339), 'uptime': datetime.timedelta(0, 9728, 900000), 'CPU1': 2, 'CPU2': 1, 'CPU3': 7, 'CPU4': 3, 'RAM': 0.948019826371439, 'SWAP': 0.17313592256157165, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 37.0, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 19, 231603), 'uptime': datetime.timedelta(0, 9729, 900000), 'CPU1': 4, 'CPU2': 2, 'CPU3': 1, 'CPU4': 6, 'RAM': 0.9480119431223579, 'SWAP': 0.17313592256157165, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 42.0, 'Temp CPU': 38.0, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2401, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 20, 233900), 'uptime': datetime.timedelta(0, 9730, 900000), 'CPU1': 3, 'CPU2': 7, 'CPU3': 1, 'CPU4': 4, 'RAM': 0.9478592051714114, 'SWAP': 0.17313592256157165, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 42.0, 'Temp CPU': 38.5, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 17, 21, 236131), 'uptime': datetime.timedelta(0, 9731, 900000), 'CPU1': 5, 'CPU2': 5, 'CPU3': 0, 'CPU4': 3, 'RAM': 0.9478197889260058, 'SWAP': 0.17313401521111985, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 42.0, 'Temp CPU': 37.5, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2401, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
