Loaded PyTorch resnext50 pretrained on ImageNet

Benchmarking at Target FPS: 1

{'time': datetime.datetime(2024, 12, 12, 16, 37, 50, 579982), 'uptime': datetime.timedelta(0, 7360, 620000), 'CPU1': 83, 'CPU2': 54, 'CPU3': 63, 'CPU4': 72, 'RAM': 0.9415969491826056, 'SWAP': 0.16023651145602366, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.5, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.5, 'Temp thermal': 46.0, 'Power POM_5V_CPU': 1655, 'Power POM_5V_GPU': 161, 'Power TOT': 3674, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 51, 583333), 'uptime': datetime.timedelta(0, 7361, 620000), 'CPU1': 60, 'CPU2': 54, 'CPU3': 61, 'CPU4': 69, 'RAM': 0.9410677860880362, 'SWAP': 0.1652394916911046, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.5, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.0, 'Temp thermal': 44.75, 'Power POM_5V_CPU': 1415, 'Power POM_5V_GPU': 161, 'Power TOT': 3438, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 52, 587072), 'uptime': datetime.timedelta(0, 7363, 620000), 'CPU1': 51, 'CPU2': 54, 'CPU3': 72, 'CPU4': 55, 'RAM': 0.9416521319261734, 'SWAP': 0.16541782895834822, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.0, 'Temp thermal': 44.75, 'Power POM_5V_CPU': 1453, 'Power POM_5V_GPU': 161, 'Power TOT': 3599, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 12, 12, 16, 37, 53, 589768), 'uptime': datetime.timedelta(0, 7364, 620000), 'CPU1': 44, 'CPU2': 29, 'CPU3': 46, 'CPU4': 52, 'RAM': 0.9407159960977917, 'SWAP': 0.16584507545955224, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.0, 'Temp thermal': 44.5, 'Power POM_5V_CPU': 1456, 'Power POM_5V_GPU': 162, 'Power TOT': 3240, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 54, 592103), 'uptime': datetime.timedelta(0, 7365, 620000), 'CPU1': 22, 'CPU2': 35, 'CPU3': 48, 'CPU4': 27, 'RAM': 0.9407780766843055, 'SWAP': 0.16584507545955224, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 44.5, 'Temp GPU': 44.0, 'Temp PLL': 44.0, 'Temp thermal': 44.5, 'Power POM_5V_CPU': 1498, 'Power POM_5V_GPU': 162, 'Power TOT': 3240, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 55, 594342), 'uptime': datetime.timedelta(0, 7366, 620000), 'CPU1': 35, 'CPU2': 30, 'CPU3': 37, 'CPU4': 37, 'RAM': 0.9407238793468728, 'SWAP': 0.16581074315141978, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.5, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.5, 'Temp thermal': 44.25, 'Power POM_5V_CPU': 1617, 'Power POM_5V_GPU': 161, 'Power TOT': 3321, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 56, 596118), 'uptime': datetime.timedelta(0, 7367, 630000), 'CPU1': 30, 'CPU2': 27, 'CPU3': 41, 'CPU4': 42, 'RAM': 0.9408923837959815, 'SWAP': 0.16581074315141978, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.5, 'Temp thermal': 44.5, 'Power POM_5V_CPU': 1658, 'Power POM_5V_GPU': 161, 'Power TOT': 3321, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 57, 598445), 'uptime': datetime.timedelta(0, 7368, 630000), 'CPU1': 45, 'CPU2': 28, 'CPU3': 34, 'CPU4': 38, 'RAM': 0.9407632955922783, 'SWAP': 0.16580883580096797, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.5, 'Temp thermal': 44.5, 'Power POM_5V_CPU': 1658, 'Power POM_5V_GPU': 161, 'Power TOT': 3321, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 58, 600139), 'uptime': datetime.timedelta(0, 7369, 630000), 'CPU1': 40, 'CPU2': 43, 'CPU3': 23, 'CPU4': 30, 'RAM': 0.9407938431824676, 'SWAP': 0.16580883580096797, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.5, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.5, 'Temp thermal': 44.5, 'Power POM_5V_CPU': 1658, 'Power POM_5V_GPU': 161, 'Power TOT': 3362, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 37, 59, 602423), 'uptime': datetime.timedelta(0, 7370, 630000), 'CPU1': 37, 'CPU2': 26, 'CPU3': 30, 'CPU4': 40, 'RAM': 0.9407209231284674, 'SWAP': 0.16580883580096797, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 49.5, 'Temp CPU': 45.5, 'Temp GPU': 44.0, 'Temp PLL': 44.0, 'Temp thermal': 44.75, 'Power POM_5V_CPU': 1617, 'Power POM_5V_GPU': 161, 'Power TOT': 3403, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 38, 0, 604144), 'uptime': datetime.timedelta(0, 7371, 630000), 'CPU1': 46, 'CPU2': 27, 'CPU3': 47, 'CPU4': 46, 'RAM': 0.9398340576068427, 'SWAP': 0.1657725961423837, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.5, 'Temp GPU': 43.5, 'Temp PLL': 44.5, 'Temp thermal': 44.5, 'Power POM_5V_CPU': 1537, 'Power POM_5V_GPU': 162, 'Power TOT': 3240, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 38, 1, 606480), 'uptime': datetime.timedelta(0, 7372, 630000), 'CPU1': 43, 'CPU2': 39, 'CPU3': 23, 'CPU4': 33, 'RAM': 0.939353179412895, 'SWAP': 0.1657563836635434, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.5, 'Temp GPU': 44.0, 'Temp PLL': 44.5, 'Temp thermal': 44.75, 'Power POM_5V_CPU': 1698, 'Power POM_5V_GPU': 161, 'Power TOT': 3321, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 38, 2, 608768), 'uptime': datetime.timedelta(0, 7373, 630000), 'CPU1': 44, 'CPU2': 24, 'CPU3': 32, 'CPU4': 33, 'RAM': 0.9393975226889762, 'SWAP': 0.1657563836635434, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.0, 'Temp GPU': 44.0, 'Temp PLL': 44.0, 'Temp thermal': 44.25, 'Power POM_5V_CPU': 1658, 'Power POM_5V_GPU': 161, 'Power TOT': 3362, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 16, 38, 3, 611043), 'uptime': datetime.timedelta(0, 7374, 630000), 'CPU1': 44, 'CPU2': 23, 'CPU3': 32, 'CPU4': 33, 'RAM': 0.9392447847380297, 'SWAP': 0.1657563836635434, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 50.0, 'Temp CPU': 45.5, 'Temp GPU': 44.0, 'Temp PLL': 44.0, 'Temp thermal': 44.75, 'Power POM_5V_CPU': 1698, 'Power POM_5V_GPU': 161, 'Power TOT': 3362, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
