Loaded PyTorch squeezenet pretrained on ImageNet

Benchmarking at Target FPS: 1

{'time': datetime.datetime(2024, 12, 12, 17, 42, 32, 38615), 'uptime': datetime.timedelta(0, 11243, 190000), 'CPU1': 37, 'CPU2': 14, 'CPU3': 14, 'CPU4': 67, 'RAM': 0.8603817463367527, 'SWAP': 0.09521588822926352, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 42.0, 'Temp CPU': 37.5, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 1456, 'Power POM_5V_GPU': 161, 'Power TOT': 3362, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 33, 42699), 'uptime': datetime.timedelta(0, 11243, 190000), 'CPU1': 37, 'CPU2': 14, 'CPU3': 14, 'CPU4': 67, 'RAM': 0.8603817463367527, 'SWAP': 0.09521588822926352, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 42.0, 'Temp CPU': 37.5, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 1456, 'Power POM_5V_GPU': 161, 'Power TOT': 3362, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 12, 12, 17, 42, 34, 46019), 'uptime': datetime.timedelta(0, 11245, 190000), 'CPU1': 14, 'CPU2': 9, 'CPU3': 15, 'CPU4': 47, 'RAM': 0.8580049467387983, 'SWAP': 0.09526261831533271, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 36.5, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 35, 48110), 'uptime': datetime.timedelta(0, 11246, 190000), 'CPU1': 8, 'CPU2': 6, 'CPU3': 1, 'CPU4': 2, 'RAM': 0.857917245592771, 'SWAP': 0.09526261831533271, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 814, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 36, 50415), 'uptime': datetime.timedelta(0, 11247, 190000), 'CPU1': 4, 'CPU2': 8, 'CPU3': 3, 'CPU4': 8, 'RAM': 0.8578078655117707, 'SWAP': 0.09526261831533271, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 814, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 37, 52722), 'uptime': datetime.timedelta(0, 11248, 190000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 10, 'CPU4': 3, 'RAM': 0.8579606034627172, 'SWAP': 0.09526261831533271, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.5, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 38, 54974), 'uptime': datetime.timedelta(0, 11249, 190000), 'CPU1': 3, 'CPU2': 3, 'CPU3': 5, 'CPU4': 6, 'RAM': 0.8578078655117707, 'SWAP': 0.09526261831533271, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 38.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.75, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2482, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 39, 57290), 'uptime': datetime.timedelta(0, 11250, 190000), 'CPU1': 2, 'CPU2': 5, 'CPU3': 3, 'CPU4': 6, 'RAM': 0.8578374276958248, 'SWAP': 0.09526261831533271, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 40, 59504), 'uptime': datetime.timedelta(0, 11251, 190000), 'CPU1': 8, 'CPU2': 3, 'CPU3': 2, 'CPU4': 6, 'RAM': 0.8577930844197436, 'SWAP': 0.09526261831533271, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 38.0, 'Temp GPU': 36.0, 'Temp PLL': 36.0, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
{'time': datetime.datetime(2024, 12, 12, 17, 42, 41, 61850), 'uptime': datetime.timedelta(0, 11252, 190000), 'CPU1': 3, 'CPU2': 6, 'CPU3': 3, 'CPU4': 10, 'RAM': 0.8576965146185, 'SWAP': 0.09526166464010681, 'EMC': 0, 'IRAM': 0.0, 'GPU': 0.0, 'APE': 25500, 'APE_MASTER': 'OFF', 'NVDEC': 'OFF', 'NVENC': 'OFF', 'NVJPG': 'OFF', 'SE': 'OFF', 'VIC03': 'OFF', 'Fan tegra_pwmfan0': 0.0, 'Temp AO': 41.5, 'Temp CPU': 37.0, 'Temp GPU': 36.5, 'Temp PLL': 36.5, 'Temp thermal': 36.5, 'Power POM_5V_CPU': 773, 'Power POM_5V_GPU': 162, 'Power TOT': 2442, 'jetson_clocks': 'ON', 'nvp model': 'MAXN'}
