Loaded PyTorch mobilenetv3 pretrained on ImageNet

Benchmarking at Target FPS: 1

Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 27, 22, 37, 56, 354294), 'uptime': datetime.timedelta(seconds=15669, microseconds=800000), 'CPU1': 4, 'CPU2': 2, 'CPU3': 1, 'CPU4': 3, 'CPU5': 2, 'CPU6': 1, 'RAM': 0.5475934156631755, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.343, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.812, 'Temp soc0': 36.593, 'Temp soc1': 36.781, 'Temp soc2': 38.437, 'Temp tj': 38.812, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 37, 57, 356204), 'uptime': datetime.timedelta(seconds=15670, microseconds=800000), 'CPU1': 2, 'CPU2': 0, 'CPU3': 2, 'CPU4': 0, 'CPU5': 2, 'CPU6': 0, 'RAM': 0.5476580081919731, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.343, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.656, 'Temp soc0': 36.625, 'Temp soc1': 36.812, 'Temp soc2': 38.531, 'Temp tj': 38.656, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 37, 58, 358093), 'uptime': datetime.timedelta(seconds=15671, microseconds=800000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 4, 'CPU4': 0, 'CPU5': 0, 'CPU6': 2, 'RAM': 0.5477220880816531, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.781, 'Temp soc0': 36.5, 'Temp soc1': 36.968, 'Temp soc2': 38.437, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 37, 59, 359972), 'uptime': datetime.timedelta(seconds=15672, microseconds=800000), 'CPU1': 2, 'CPU2': 0, 'CPU3': 1, 'CPU4': 2, 'CPU5': 1, 'CPU6': 0, 'RAM': 0.5477154237731264, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.531, 'Temp soc1': 36.906, 'Temp soc2': 38.562, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 0, 360936), 'uptime': datetime.timedelta(seconds=15673, microseconds=800000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 1, 'CPU4': 1, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5478717787039458, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.656, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.781, 'Temp soc0': 36.562, 'Temp soc1': 36.812, 'Temp soc2': 38.468, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 1, 362817), 'uptime': datetime.timedelta(seconds=15674, microseconds=800000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 2, 'CPU4': 1, 'CPU5': 2, 'CPU6': 3, 'RAM': 0.5476985066822508, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.562, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.625, 'Temp soc1': 36.781, 'Temp soc2': 38.437, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 2, 364835), 'uptime': datetime.timedelta(seconds=15675, microseconds=800000), 'CPU1': 3, 'CPU2': 1, 'CPU3': 0, 'CPU4': 2, 'CPU5': 0, 'CPU6': 2, 'RAM': 0.5477564349025217, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.468, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.843, 'Temp soc0': 36.593, 'Temp soc1': 36.75, 'Temp soc2': 38.468, 'Temp tj': 38.843, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 3, 366836), 'uptime': datetime.timedelta(seconds=15676, microseconds=810000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 5, 'CPU4': 2, 'CPU5': 4, 'CPU6': 1, 'RAM': 0.547813850483675, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.718, 'Temp soc0': 36.562, 'Temp soc1': 36.781, 'Temp soc2': 38.437, 'Temp tj': 38.718, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 4, 368739), 'uptime': datetime.timedelta(seconds=15677, microseconds=810000), 'CPU1': 2, 'CPU2': 1, 'CPU3': 1, 'CPU4': 1, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5478117999272053, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.343, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.593, 'Temp soc0': 36.562, 'Temp soc1': 36.843, 'Temp soc2': 38.343, 'Temp tj': 38.593, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 5, 370627), 'uptime': datetime.timedelta(seconds=15678, microseconds=810000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 0, 'CPU4': 2, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5477092721037171, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.281, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.656, 'Temp soc0': 36.593, 'Temp soc1': 36.718, 'Temp soc2': 38.343, 'Temp tj': 38.656, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 6, 372596), 'uptime': datetime.timedelta(seconds=15679, microseconds=810000), 'CPU1': 4, 'CPU2': 0, 'CPU3': 3, 'CPU4': 0, 'CPU5': 2, 'CPU6': 3, 'RAM': 0.5475754732940652, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.5, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.593, 'Temp soc0': 36.531, 'Temp soc1': 36.718, 'Temp soc2': 38.406, 'Temp tj': 38.593, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 7, 374483), 'uptime': datetime.timedelta(seconds=15680, microseconds=810000), 'CPU1': 2, 'CPU2': 1, 'CPU3': 2, 'CPU4': 1, 'CPU5': 3, 'CPU6': 0, 'RAM': 0.5473314570741635, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.343, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.687, 'Temp soc0': 36.5, 'Temp soc1': 36.875, 'Temp soc2': 38.531, 'Temp tj': 38.687, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 8, 376411), 'uptime': datetime.timedelta(seconds=15681, microseconds=810000), 'CPU1': 2, 'CPU2': 1, 'CPU3': 1, 'CPU4': 2, 'CPU5': 2, 'CPU6': 2, 'RAM': 0.5475201082693816, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.656, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.531, 'Temp soc0': 36.5, 'Temp soc1': 36.812, 'Temp soc2': 38.437, 'Temp tj': 38.656, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 9, 378311), 'uptime': datetime.timedelta(seconds=15682, microseconds=810000), 'CPU1': 4, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5475775238505349, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.562, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.625, 'Temp soc1': 36.875, 'Temp soc2': 38.312, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 10, 380184), 'uptime': datetime.timedelta(seconds=15683, microseconds=810000), 'CPU1': 3, 'CPU2': 1, 'CPU3': 2, 'CPU4': 0, 'CPU5': 1, 'CPU6': 1, 'RAM': 0.547550866616428, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.75, 'Temp soc0': 36.562, 'Temp soc1': 36.843, 'Temp soc2': 38.468, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 11, 382130), 'uptime': datetime.timedelta(seconds=15684, microseconds=810000), 'CPU1': 4, 'CPU2': 0, 'CPU3': 3, 'CPU4': 1, 'CPU5': 2, 'CPU6': 0, 'RAM': 0.5473975875203133, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.843, 'Temp soc0': 36.531, 'Temp soc1': 36.781, 'Temp soc2': 38.437, 'Temp tj': 38.843, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 12, 384010), 'uptime': datetime.timedelta(seconds=15685, microseconds=810000), 'CPU1': 3, 'CPU2': 1, 'CPU3': 3, 'CPU4': 3, 'CPU5': 2, 'CPU6': 1, 'RAM': 0.5474878120049829, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.406, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.906, 'Temp soc0': 36.531, 'Temp soc1': 36.75, 'Temp soc2': 38.406, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 13, 384930), 'uptime': datetime.timedelta(seconds=15686, microseconds=820000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 0, 'CPU4': 2, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5475836755199442, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.281, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.593, 'Temp soc0': 36.5, 'Temp soc1': 36.687, 'Temp soc2': 38.312, 'Temp tj': 38.843, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 14, 386850), 'uptime': datetime.timedelta(seconds=15687, microseconds=820000), 'CPU1': 3, 'CPU2': 1, 'CPU3': 1, 'CPU4': 2, 'CPU5': 2, 'CPU6': 1, 'RAM': 0.547429883784712, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.5, 'Temp soc0': 36.468, 'Temp soc1': 36.656, 'Temp soc2': 38.343, 'Temp tj': 38.5, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 15, 388764), 'uptime': datetime.timedelta(seconds=15688, microseconds=820000), 'CPU1': 2, 'CPU2': 0, 'CPU3': 3, 'CPU4': 1, 'CPU5': 1, 'CPU6': 0, 'RAM': 0.5474462882364701, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.5, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.406, 'Temp soc1': 36.875, 'Temp soc2': 38.375, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 22, 38, 16, 390654), 'uptime': datetime.timedelta(seconds=15689, microseconds=820000), 'CPU1': 2, 'CPU2': 1, 'CPU3': 4, 'CPU4': 1, 'CPU5': 2, 'CPU6': 1, 'RAM': 0.5475016532611537, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.25, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.468, 'Temp soc1': 36.781, 'Temp soc2': 38.406, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
