Loaded PyTorch mobilenetv3 pretrained on ImageNet

Benchmarking at Target FPS: 1

Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 27, 23, 56, 41, 656289), 'uptime': datetime.timedelta(seconds=20395, microseconds=80000), 'CPU1': 5, 'CPU2': 2, 'CPU3': 3, 'CPU4': 11, 'CPU5': 4, 'CPU6': 6, 'RAM': 0.5825548908335, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.406, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.531, 'Temp soc0': 36.468, 'Temp soc1': 36.562, 'Temp soc2': 38.312, 'Temp tj': 38.531, 'Power VDD_CPU_GPU_CV': 998, 'Power VDD_SOC': 1320, 'Power TOT': 4240, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 42, 658258), 'uptime': datetime.timedelta(seconds=20396, microseconds=80000), 'CPU1': 4, 'CPU2': 2, 'CPU3': 1, 'CPU4': 2, 'CPU5': 0, 'CPU6': 3, 'RAM': 0.5826840758910949, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.25, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.437, 'Temp soc0': 36.468, 'Temp soc1': 36.593, 'Temp soc2': 38.343, 'Temp tj': 38.437, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4126, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 43, 660162), 'uptime': datetime.timedelta(seconds=20397, microseconds=80000), 'CPU1': 0, 'CPU2': 2, 'CPU3': 2, 'CPU4': 1, 'CPU5': 1, 'CPU6': 2, 'RAM': 0.5827809646842912, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.25, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.312, 'Temp soc1': 36.812, 'Temp soc2': 38.281, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 44, 662090), 'uptime': datetime.timedelta(seconds=20398, microseconds=80000), 'CPU1': 1, 'CPU2': 2, 'CPU3': 0, 'CPU4': 1, 'CPU5': 0, 'CPU6': 3, 'RAM': 0.5828778534774874, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.156, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.437, 'Temp soc0': 36.343, 'Temp soc1': 36.906, 'Temp soc2': 38.375, 'Temp tj': 38.437, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 45, 664012), 'uptime': datetime.timedelta(seconds=20399, microseconds=80000), 'CPU1': 0, 'CPU2': 4, 'CPU3': 2, 'CPU4': 2, 'CPU5': 1, 'CPU6': 3, 'RAM': 0.5830347210474243, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.468, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.75, 'Temp soc0': 36.312, 'Temp soc1': 36.75, 'Temp soc2': 38.375, 'Temp tj': 38.75, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4120, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 46, 665964), 'uptime': datetime.timedelta(seconds=20400, microseconds=80000), 'CPU1': 1, 'CPU2': 2, 'CPU3': 1, 'CPU4': 1, 'CPU5': 1, 'CPU6': 3, 'RAM': 0.5831316098406205, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.437, 'Temp soc0': 36.531, 'Temp soc1': 36.687, 'Temp soc2': 38.312, 'Temp tj': 38.437, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 47, 667928), 'uptime': datetime.timedelta(seconds=20401, microseconds=80000), 'CPU1': 1, 'CPU2': 3, 'CPU3': 1, 'CPU4': 2, 'CPU5': 2, 'CPU6': 3, 'RAM': 0.5832602822590981, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.312, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.75, 'Temp soc0': 36.375, 'Temp soc1': 36.656, 'Temp soc2': 38.312, 'Temp tj': 38.75, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 48, 668953), 'uptime': datetime.timedelta(seconds=20402, microseconds=80000), 'CPU1': 0, 'CPU2': 2, 'CPU3': 0, 'CPU4': 1, 'CPU5': 1, 'CPU6': 2, 'RAM': 0.5833028313058456, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.125, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.5, 'Temp soc0': 36.437, 'Temp soc1': 36.593, 'Temp soc2': 38.218, 'Temp tj': 38.5, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 49, 670876), 'uptime': datetime.timedelta(seconds=20403, microseconds=90000), 'CPU1': 1, 'CPU2': 2, 'CPU3': 0, 'CPU4': 1, 'CPU5': 1, 'CPU6': 4, 'RAM': 0.5824390343929584, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.312, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.375, 'Temp soc0': 36.375, 'Temp soc1': 36.562, 'Temp soc2': 38.156, 'Temp tj': 38.375, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 50, 672790), 'uptime': datetime.timedelta(seconds=20404, microseconds=90000), 'CPU1': 1, 'CPU2': 3, 'CPU3': 2, 'CPU4': 2, 'CPU5': 0, 'CPU6': 3, 'RAM': 0.5825682194505534, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.281, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.437, 'Temp soc0': 36.375, 'Temp soc1': 36.562, 'Temp soc2': 38.281, 'Temp tj': 38.437, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 27, 23, 56, 51, 674737), 'uptime': datetime.timedelta(seconds=20405, microseconds=90000), 'CPU1': 0, 'CPU2': 2, 'CPU3': 0, 'CPU4': 2, 'CPU5': 1, 'CPU6': 3, 'RAM': 0.582597952519365, 'SWAP': 0.00013123601772506465, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.25, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.375, 'Temp soc0': 36.375, 'Temp soc1': 36.781, 'Temp soc2': 38.187, 'Temp tj': 38.375, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
