Model,Total Time,Achieved FPS,Avg Inference Time(sec/frame),Avg Power Consumption,Device,FP
Mobilenetv3,240.24,0.5,0.1772,4074.49,CPU,FP16
Mobilenetv3,120.12,1,0.1945,4162.1,CPU,FP16
Mobilenetv3,80.09,1.5,0.1677,4337.6,CPU,FP16
Mobilenetv3,60.07,2,0.1619,4384.98,CPU,FP16
Mobilenetv3,48.08,2.5,0.1716,4652.4,CPU,FP16
Mobilenetv3,40.05,3,0.1615,4669.67,CPU,FP16
Mobilenetv3,26.31,4.56,0.1913,5266.97,CPU,FP16
Mobilenetv3,22.16,5.42,0.1845,5455.98,CPU,FP16
Mobilenetv3,240.15,0.5,0.987,5743.32,CPU,FP32
Mobilenetv3,123.58,0.97,0.9675,6105.38,CPU,FP32
Mobilenetv3,114.94,1.04,0.9576,6155.88,CPU,FP32
Mobilenetv3,113.86,1.05,0.9473,6138.48,CPU,FP32
Mobilenetv3,113.36,1.06,0.9361,6149.84,CPU,FP32
Mobilenetv3,112.44,1.07,0.9367,6166.31,CPU,FP32
Mobilenetv3,110.56,1.09,0.9179,6153.03,CPU,FP32
Mobilenetv3,107.06,1.12,0.8919,6163.14,CPU,FP32
Mobilenetv3,120.22,1,0.0017,4064.94,GPU,FP32
Mobilenetv3,12.08,9.94,0.001,4136.67,GPU,FP32
Mobilenetv3,4.06,29.56,0.0009,4240.33,GPU,FP32
Mobilenetv3,2.06,58.31,0.0009,4302,GPU,FP32
Mobilenetv3,1.06,113.62,0.0008,4222.87,GPU,FP32
Mobilenetv3,0.55,216.28,0.0008,4200,GPU,FP32
Mobilenetv3,0.3,405.79,0.0008,4545,GPU,FP32
Mobilenetv3,0.18,680.08,0.0008,4353,GPU,FP32
Mobilenetv3,120.23,1,0.0018,4062.45,GPU,FP16
Mobilenetv3,12.07,9.94,0.0011,4132.06,GPU,FP16
Mobilenetv3,4.06,29.54,0.001,4217.64,GPU,FP16
Mobilenetv3,2.06,58.18,0.001,4297.28,GPU,FP16
Mobilenetv3,1.06,113.47,0.0009,4322.27,GPU,FP16
Mobilenetv3,0.56,216.11,0.0008,4313,GPU,FP16
Mobilenetv3,0.3,403.32,0.0008,4737,GPU,FP16
Mobilenetv3,0.18,677.33,0.0008,4465,GPU,FP16
Resnet18,240.24,0.5,0.1162,4063.62,CPU,FP32
Resnet18,120.12,1,0.1164,4224.67,CPU,FP32
Resnet18,80.1,1.5,0.1204,4691.16,CPU,FP32
Resnet18,60.08,2,0.1166,4792.97,CPU,FP32
Resnet18,48.07,2.5,0.1226,5350.52,CPU,FP32
Resnet18,40.06,3,0.126,5547.04,CPU,FP32
Resnet18,25.21,4.76,0.1877,6876.52,CPU,FP32
Resnet18,21.21,5.66,0.1765,7096.32,CPU,FP32
Resnet18,21.14,5.68,0.1759,6984.32,CPU,FP32
Resnet18,20.97,5.72,0.1744,7068.59,CPU,FP32
Resnet18,20.47,5.86,0.1646,6972.8,CPU,FP32
Resnet18,449.91,0.27,3.749,4955,CPU,FP16
Resnet18,459.42,0.26,3.8282,4957.84,CPU,FP16
Resnet18,120.22,1,0.0015,4066.43,GPU,FP32
Resnet18,12.08,9.93,0.001,4276.33,GPU,FP32
Resnet18,4.06,29.54,0.0008,4512.67,GPU,FP32
Resnet18,2.06,58.28,0.0008,4690.02,GPU,FP32
Resnet18,1.06,113.59,0.0007,4412.23,GPU,FP32
Resnet18,0.55,216.42,0.0007,4280,GPU,FP32
Resnet18,0.3,406.41,0.0007,4824,GPU,FP32
Resnet18,0.26,466.87,0.0016,4512,GPU,FP32
Resnet18,120.21,1,0.0013,4068.4,GPU,FP16
Resnet18,12.07,9.94,0.0009,4175.67,GPU,FP16
Resnet18,4.06,29.54,0.0008,4321,GPU,FP16
Resnet18,2.06,58.25,0.0008,4406.4,GPU,FP16
Resnet18,1.06,113.48,0.0007,4283.87,GPU,FP16
