Model,time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
Mobilenetv3,2024-11-11T20:38:05.039803,05:24:54,3,4,18,8,41,13,0.28800746813049133,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,42.687,-256,-256,-256,42.812,40.812,41.125,42.75,42.843,838,1158,3913,OFF,15W
Mobilenetv3,2024-11-11T20:38:06.048520,05:24:55,2,0,6,3,3,11,0.28794185028982067,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,42.531,-256,-256,-256,42.625,40.75,41.062,42.781,42.781,600,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T20:38:07.039955,05:24:56,2,1,4,2,4,11,0.2880315621813626,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,42.781,-256,-256,-256,42.875,40.718,41.406,42.75,42.875,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T20:38:08.037536,05:24:57,1,0,4,3,3,8,0.28805719415037456,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,42.531,-256,-256,-256,42.687,40.781,41.218,42.718,42.718,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T20:38:09.041240,05:24:58,2,0,4,2,3,10,0.28810486961273685,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,42.593,-256,-256,-256,42.718,40.718,41.062,42.812,42.812,560,1040,3285,OFF,15W
Mobilenetv3,2024-11-11T20:38:09.996032,05:24:59,83,69,77,75,78,73,0.2884334714554703,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.5,-256,-256,-256,42.75,40.75,41.375,42.906,43.5,2341,1309,5564,OFF,15W
Mobilenetv3,2024-11-11T20:38:10.999949,05:25:00,95,95,92,92,92,86,0.288400663,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.937,-256,-256,-256,43.031,41,41.437,43.093,43.937,2733,1309,5991,OFF,15W
Mobilenetv3,2024-11-11T20:38:12.000201,05:25:01,95,90,83,88,81,84,0.28844013576741345,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.875,-256,-256,-256,42.968,40.843,41.375,43.125,43.687,2614,1309,5872,OFF,15W
Mobilenetv3,2024-11-11T20:38:13.000565,05:25:02,91,93,86,87,88,82,0.2888117993180871,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.906,-256,-256,-256,43.187,41.062,41.468,43.125,43.906,2689,1307,5991,OFF,15W
Mobilenetv3,2024-11-11T20:38:14.003097,05:25:03,93,90,83,85,91,78,0.28894098444190747,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.812,-256,-256,-256,43.031,41.062,41.531,43.25,43.812,2575,1346,5872,OFF,15W
Mobilenetv3,2024-11-11T20:38:15.001696,05:25:04,92,87,89,92,92,90,0.28865646958587454,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.937,-256,-256,-256,43.406,41.093,41.5,43.281,43.937,2693,1307,5991,OFF,15W
Mobilenetv3,2024-11-11T20:38:16.001171,05:25:05,92,88,91,86,88,86,0.2886000792540482,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.781,-256,-256,-256,43.25,41.125,41.531,43.281,43.781,2654,1349,5912,OFF,15W
Mobilenetv3,2024-11-11T20:38:17.002523,05:25:06,93,93,88,94,88,90,0.28850626624746434,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,43.937,-256,-256,-256,43.562,41.156,41.75,43.343,43.937,2733,1349,6031,OFF,15W
Mobilenetv3,2024-11-11T20:38:18.002066,05:25:07,91,90,93,91,92,87,0.2886200721898775,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.062,-256,-256,-256,43.375,41.125,41.75,43.437,44.062,2654,1349,5952,OFF,15W
Mobilenetv3,2024-11-11T20:38:19.005549,05:25:08,83,93,88,91,92,87,0.2885764978425572,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.218,-256,-256,-256,43.25,41.281,41.781,43.5,44.218,2654,1346,5952,OFF,15W
Mobilenetv3,2024-11-11T20:38:20.007570,05:25:09,86,84,89,94,94,91,0.2885672703337129,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.281,-256,-256,-256,43.437,41.25,41.781,43.562,44.281,2733,1349,6071,OFF,15W
Mobilenetv3,2024-11-11T20:38:21.007944,05:25:10,89,85,93,89,92,84,0.2885626565792907,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.218,-256,-256,-256,43.281,41.406,41.875,43.468,44.218,2654,1349,5952,OFF,15W
Mobilenetv3,2024-11-11T20:38:22.004540,05:25:11,96,94,92,92,84,87,0.28860315509032963,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.125,-256,-256,-256,43.562,41.343,41.812,43.531,44.281,2654,1349,5952,OFF,15W
Mobilenetv3,2024-11-11T20:38:23.010074,05:25:13,86,94,87,90,87,85,0.28829608410156615,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.343,-256,-256,-256,43.468,41.406,41.812,43.656,44.343,2693,1349,5991,OFF,15W
Mobilenetv3,2024-11-11T20:38:24.012537,05:25:14,92,93,88,87,91,92,0.2882637878206111,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.312,-256,-256,-256,43.718,41.437,41.906,43.593,44.312,2733,1349,6031,OFF,15W
Mobilenetv3,2024-11-11T20:38:25.011782,05:25:15,90,90,91,94,87,84,0.2880643711016979,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.437,-256,-256,-256,43.562,41.468,42.218,43.656,44.437,2693,1346,5991,OFF,15W
Mobilenetv3,2024-11-11T20:38:26.017077,05:25:16,90,87,87,86,87,80,0.28822431458833264,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.343,-256,-256,-256,43.562,41.593,41.937,43.718,44.437,2614,1346,5912,OFF,15W
Mobilenetv3,2024-11-11T20:38:27.008512,05:25:17,94,92,84,84,87,83,0.28831402647987453,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.5,-256,-256,-256,43.468,41.687,42.187,43.843,44.5,2495,1346,5793,OFF,15W
Mobilenetv3,2024-11-11T20:38:28.014250,05:25:18,94,94,85,88,90,92,0.2884380852098925,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.437,-256,-256,-256,43.593,41.75,42.093,43.875,44.437,2654,1346,5952,OFF,15W
Mobilenetv3,2024-11-11T20:38:29.014905,05:25:19,88,92,86,93,86,90,0.28853241085585657,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.593,-256,-256,-256,43.781,41.718,42.125,43.875,44.593,2693,1349,5991,OFF,15W
Mobilenetv3,2024-11-11T20:38:30.017146,05:25:20,95,89,87,80,93,91,0.2883381205307458,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.781,-256,-256,-256,43.687,41.75,42.218,43.875,44.781,2575,1346,5872,OFF,15W
Mobilenetv3,2024-11-11T20:38:31.018176,05:25:21,86,86,91,94,91,93,0.2880797502831051,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.431372549019606,44.625,-256,-256,-256,43.906,41.75,42.125,43.906,44.625,2693,1349,5991,OFF,15W
