Model,time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
Mobilenetv3,2024-11-11T21:00:33.471332,05:47:23,4,3,7,27,13,28,0.3341557777790309,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.343,-256,-256,-256,43.5,41.406,41.781,43.312,43.5,798,1118,3800,OFF,15W
Mobilenetv3,2024-11-11T21:00:34.475976,05:47:24,3,5,5,2,4,1,0.3344141480266716,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.187,-256,-256,-256,43.312,41.468,41.875,43.375,43.375,600,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T21:00:35.476272,05:47:25,9,4,3,7,2,3,0.3344777153098213,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.187,-256,-256,-256,43.25,41.406,41.937,43.375,43.375,560,1081,3325,OFF,15W
Mobilenetv3,2024-11-11T21:00:36.472757,05:47:26,4,4,8,3,3,2,0.3347683818384171,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.5,-256,-256,-256,43.375,41.468,41.843,43.343,43.375,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:00:37.470110,05:47:27,4,5,9,3,0,2,0.3348329744003273,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.375,-256,-256,-256,43.281,41.562,41.875,43.437,43.437,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:00:38.513730,05:47:28,29,23,16,4,2,3,0.347594106,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.343,-256,-256,-256,43.375,41.468,41.781,43.375,43.593,798,1158,3993,OFF,15W
Mobilenetv3,2024-11-11T21:00:39.430658,05:47:29,41,30,8,6,7,44,0.3580309316349249,0.006233711,0,14.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.562,-256,-256,-256,43.562,41.375,41.937,43.406,43.562,1346,1349,4801,OFF,15W
Mobilenetv3,2024-11-11T21:00:40.433840,05:47:30,7,6,36,43,38,7,0.35815857884060454,0.006233711,0,22,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.812,-256,-256,-256,43.468,41.437,41.937,43.5,43.718,1465,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:41.458495,05:47:31,48,56,12,13,8,15,0.3580319569136854,0.006233711,0,14.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.687,-256,-256,-256,43.5,41.562,41.906,43.625,43.781,1426,1386,4920,OFF,15W
Mobilenetv3,2024-11-11T21:00:42.447054,05:47:32,98,7,10,9,10,8,0.3580816829335686,0.006233711,0,19,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.718,-256,-256,-256,43.937,41.468,41.906,43.468,43.937,1426,1386,4920,OFF,15W
Mobilenetv3,2024-11-11T21:00:43.451535,05:47:33,99,11,14,13,12,9,0.35814422493795783,0.006233711,0,18.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.843,-256,-256,-256,43.625,41.656,41.875,43.656,43.843,1426,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:44.448667,05:47:34,82,28,14,11,8,14,0.3582482907321464,0.006233711,0,26.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.718,-256,-256,-256,43.687,41.593,41.875,43.687,43.718,1426,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:45.450946,05:47:35,28,78,16,12,12,12,0.3582903271613261,0.006233711,0,19.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.75,-256,-256,-256,43.625,41.593,42.218,43.656,43.75,1465,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:46.450275,05:47:36,26,84,14,10,14,12,0.3582893018825656,0.006233711,0,31.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.75,-256,-256,-256,43.875,41.5,42.062,43.843,43.875,1426,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:47.443234,05:47:37,99,12,12,10,13,12,0.35828776396442485,0.006233711,0,17.4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.843,-256,-256,-256,43.875,41.625,41.937,43.75,43.843,1426,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:48.444723,05:47:38,56,50,10,12,7,9,0.3584154111701045,0.006233711,0,9.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.781,-256,-256,-256,43.968,41.625,42.187,43.75,43.968,1426,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:49.457121,05:47:39,95,16,9,10,11,11,0.35857279145983806,0.006233711,0,27.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.968,-256,-256,-256,43.843,41.718,42.156,43.781,43.968,1426,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:50.456562,05:47:40,94,12,11,9,9,11,0.35857176618107756,0.006233711,0,18.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.906,-256,-256,-256,44.093,41.781,42.093,43.843,44.156,1426,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:51.440284,05:47:41,11,9,6,93,6,9,0.3586020119045117,0.006233711,0,30,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,44.156,-256,-256,-256,43.718,41.843,42.156,43.812,44.156,1465,1386,4999,OFF,15W
Mobilenetv3,2024-11-11T21:00:52.443147,05:47:42,6,6,90,10,11,12,0.35831698440909854,0.006233711,0,25.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,44.156,-256,-256,-256,43.812,41.875,42.156,43.906,44.156,1426,1386,4999,OFF,15W
Mobilenetv3,2024-11-11T21:00:53.443959,05:47:43,6,6,20,8,6,87,0.3583733747409249,0.006233711,0,16.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,44.218,-256,-256,-256,43.781,41.843,42.093,43.843,44.218,1465,1386,4960,OFF,15W
Mobilenetv3,2024-11-11T21:00:54.446650,05:47:44,8,6,86,23,6,6,0.35840413310373925,0.006233711,0,30.6,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,44.218,-256,-256,-256,43.781,41.812,42.187,43.937,44.218,1465,1386,4999,OFF,15W
Mobilenetv3,2024-11-11T21:00:55.446941,05:47:45,57,11,42,14,13,10,0.35849999666784405,0.006233711,0,22,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,44.156,-256,-256,-256,44,41.718,42.093,43.906,44.156,1465,1386,4999,OFF,15W
Mobilenetv3,2024-11-11T21:00:56.519215,05:47:46,53,8,13,6,26,30,0.3584979461103231,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.718,-256,-256,-256,44.125,41.718,42.125,43.843,43.843,1232,1351,4610,OFF,15W
Mobilenetv3,2024-11-11T21:00:57.527265,05:47:47,4,0,11,3,5,5,0.35849640819218237,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.906,-256,-256,-256,43.625,41.875,42.093,43.781,43.781,640,1080,3439,OFF,15W
Mobilenetv3,2024-11-11T21:00:58.533403,05:47:48,2,2,3,8,6,4,0.3585881706412452,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.5,-256,-256,-256,43.562,41.718,42.125,43.75,43.75,560,1041,3285,OFF,15W
Mobilenetv3,2024-11-11T21:00:59.526920,05:47:49,0,0,4,7,5,5,0.35858714536248476,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.656,-256,-256,-256,43.843,41.843,42.062,43.718,43.843,560,1041,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:00.493359,05:47:50,3,2,3,8,5,5,0.35858714536248476,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.781,-256,-256,-256,43.593,41.718,42.062,43.687,43.781,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:01.486278,05:47:51,4,4,3,7,0,4,0.3584241260395686,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.625,-256,-256,-256,43.781,41.593,42.218,43.593,43.656,560,1040,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:02.535540,05:47:52,2,4,3,6,2,3,0.35819753943350274,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.562,-256,-256,-256,43.531,41.843,42.125,43.593,43.875,560,1041,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:03.496621,05:47:53,2,4,3,6,5,2,0.35797095282743685,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.468,-256,-256,-256,43.937,41.718,42.031,43.625,43.937,560,1040,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:04.501095,05:47:54,3,4,4,8,2,2,0.3580673290309219,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.468,-256,-256,-256,43.656,41.781,42,43.656,43.656,560,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T21:01:05.510405,05:47:55,9,3,8,2,1,4,0.3579689022699159,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.812,-256,-256,-256,43.468,41.781,42.031,43.625,43.812,560,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T21:01:06.537008,05:47:56,5,3,5,8,3,3,0.3580283684380237,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.343,-256,-256,-256,43.875,41.593,42.125,43.593,43.875,560,1041,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:07.522762,05:47:57,3,0,10,4,6,5,0.3580555383251764,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.562,-256,-256,-256,43.625,41.781,41.968,43.562,43.562,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:08.520893,05:47:58,2,0,3,4,4,3,0.35814730077423923,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.375,-256,-256,-256,43.437,41.593,42,43.687,43.687,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:09.527741,05:47:59,3,3,4,7,5,4,0.35817805913705364,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,20,43.343,-256,-256,-256,43.531,41.656,42,43.562,43.562,560,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T21:01:10.546956,05:48:00,16,7,10,8,14,11,0.36058131255161635,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.718,-256,-256,-256,43.468,41.562,41.968,43.5,43.625,640,1080,3439,OFF,15W
Mobilenetv3,2024-11-11T21:01:11.527024,05:48:01,2,0,9,6,3,6,0.36031986646769426,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.531,-256,-256,-256,43.5,41.593,41.937,43.531,43.531,560,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T21:01:12.534948,05:48:02,0,2,15,4,4,5,0.36035216274864934,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.406,-256,-256,-256,43.75,41.656,41.937,43.562,43.562,560,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T21:01:13.519379,05:48:03,1,0,7,8,5,2,0.36035216274864934,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.468,-256,-256,-256,43.875,41.718,41.937,43.656,43.875,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:14.511918,05:48:04,1,0,7,8,3,5,0.360319354,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.5,-256,-256,-256,43.531,41.625,41.937,43.562,43.562,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:15.540242,05:48:05,1,0,6,6,2,10,0.3601578724235385,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.468,-256,-256,-256,43.875,41.812,41.968,43.593,43.875,600,1081,3325,OFF,15W
Mobilenetv3,2024-11-11T21:01:16.532281,05:48:06,3,2,6,10,4,6,0.36018914342573316,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.375,-256,-256,-256,43.625,41.718,41.968,43.625,43.843,600,1080,3325,OFF,15W
Mobilenetv3,2024-11-11T21:01:17.528512,05:48:07,0,0,3,5,6,7,0.36022143970668824,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.343,-256,-256,-256,43.625,41.656,41.968,43.531,43.625,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:18.519245,05:48:08,0,0,5,3,5,6,0.3602532233482631,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.375,-256,-256,-256,43.656,41.593,41.843,43.5,43.656,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:19.521058,05:48:09,0,0,4,7,5,1,0.3603818958327032,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.375,-256,-256,-256,43.468,41.468,42.187,43.468,43.687,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:20.536531,05:48:10,2,1,4,3,7,8,0.36028449435045773,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.281,-256,-256,-256,43.625,41.562,41.937,43.531,43.625,560,1040,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:21.524945,05:48:11,2,1,5,5,5,8,0.3604490515915146,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.281,-256,-256,-256,43.468,41.875,42,43.593,43.593,560,1080,3285,OFF,15W
Mobilenetv3,2024-11-11T21:01:22.544032,05:48:12,0,0,4,7,4,2,0.3603101263194697,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,17.254901960784313,43.343,-256,-256,-256,43.406,41.562,41.937,43.437,43.593,560,1041,3285,OFF,15W
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resnet-18,2024-11-11T20:51:07.836861,05:37:57,2,3,33,19,6,13,0.3042063599066791,0.006233711,0,33.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.823529411764707,43.531,-256,-256,-256,43.343,41.468,41.781,43.406,43.531,956,1196,4066,OFF,15W
Resnet-18,2024-11-11T20:51:08.852456,05:37:58,5,5,5,7,2,7,0.30156626709844575,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.823529411764707,43.5,-256,-256,-256,43.312,41.437,41.906,43.406,43.437,600,1080,3360,OFF,15W
Resnet-18,2024-11-11T20:51:09.870325,05:37:59,5,3,3,7,3,2,0.30169032582846367,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.823529411764707,43.343,-256,-256,-256,43.312,41.5,41.843,43.468,43.468,600,1080,3325,OFF,15W
Resnet-18,2024-11-11T20:51:10.868293,05:38:00,3,0,11,7,4,7,0.3016893005497032,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.823529411764707,43,-256,-256,-256,43.5,41.375,41.718,43.343,43.343,560,1040,3285,OFF,15W
Resnet-18,2024-11-11T20:51:11.874860,05:38:01,2,0,5,4,5,7,0.30166520649883194,0.006233711,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.823529411764707,43.218,-256,-256,-256,43.343,41.468,41.843,43.312,43.343,560,1080,3325,OFF,15W
Resnet-18,2024-11-11T20:51:12.866768,05:38:02,6,4,8,16,7,7,0.30104645076688286,0.006233711,0,5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,18.823529411764707,43.25,-256,-256,-256,43.593,41.406,41.875,43.375,43.375,640,1080,3520,OFF,15W
