Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class
1,mobilenetv3,cpu,2024-11-12 01:38:09.106408+00:00,2024-11-12 01:38:09.133211+00:00,2024-11-12 01:38:09.156342+00:00,1.jpg,499x381,1.1593,40.332,Italian greyhound,Italian greyhound
1,mobilenetv3,cpu,2024-11-12 01:38:10.267765+00:00,2024-11-12 01:38:10.275282+00:00,2024-11-12 01:38:10.283211+00:00,cat_0.jpg,640x481,0.9064,14.485,water jug,water jug
1,mobilenetv3,cpu,2024-11-12 01:38:11.176536+00:00,2024-11-12 01:38:11.179058+00:00,2024-11-12 01:38:11.186439+00:00,cat_1.jpg,441x350,1.1284,53.589,"tabby, tabby cat","tabby, tabby cat"
1,mobilenetv3,cpu,2024-11-12 01:38:12.306725+00:00,2024-11-12 01:38:12.312100+00:00,2024-11-12 01:38:12.321897+00:00,cat_2.jpg,356x500,1.1315,99.132,Persian cat,Persian cat
1,mobilenetv3,cpu,2024-11-12 01:38:13.440058+00:00,2024-11-12 01:38:13.444649+00:00,2024-11-12 01:38:13.451596+00:00,dog_0.jpg,375x500,0.9863,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
1,mobilenetv3,cpu,2024-11-12 01:38:14.431292+00:00,2024-11-12 01:38:14.436335+00:00,2024-11-12 01:38:14.442577+00:00,dog_1.jpg,375x500,1.0133,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
2,mobilenetv3,cpu,2024-11-12 01:38:15.446717+00:00,2024-11-12 01:38:15.449203+00:00,2024-11-12 01:38:15.456460+00:00,1.jpg,499x381,0.9955,40.332,Italian greyhound,Italian greyhound
2,mobilenetv3,cpu,2024-11-12 01:38:16.444059+00:00,2024-11-12 01:38:16.451573+00:00,2024-11-12 01:38:16.463584+00:00,cat_0.jpg,640x481,0.9343,14.485,water jug,water jug
2,mobilenetv3,cpu,2024-11-12 01:38:17.380269+00:00,2024-11-12 01:38:17.382795+00:00,2024-11-12 01:38:17.401724+00:00,cat_1.jpg,441x350,1.1431,53.589,"tabby, tabby cat","tabby, tabby cat"
2,mobilenetv3,cpu,2024-11-12 01:38:18.525277+00:00,2024-11-12 01:38:18.530765+00:00,2024-11-12 01:38:18.539704+00:00,cat_2.jpg,356x500,1.061,99.132,Persian cat,Persian cat
2,mobilenetv3,cpu,2024-11-12 01:38:19.588102+00:00,2024-11-12 01:38:19.594571+00:00,2024-11-12 01:38:19.601962+00:00,dog_0.jpg,375x500,0.9991,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
2,mobilenetv3,cpu,2024-11-12 01:38:20.589116+00:00,2024-11-12 01:38:20.593890+00:00,2024-11-12 01:38:20.601260+00:00,dog_1.jpg,375x500,1.0489,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
