Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class,FPS
1,resnet50,gpu,2024-11-14 23:26:58.711520+00:00,2024-11-14 23:26:58.740644+00:00,2024-11-14 23:26:58.762237+00:00,1.jpg,499x381,0.5091,19.457,Border collie,Border collie,1.964250638
1,resnet50,gpu,2024-11-14 23:26:59.345656+00:00,2024-11-14 23:26:59.354014+00:00,2024-11-14 23:26:59.359948+00:00,cat_0.jpg,640x481,0.0203,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.26108374
1,resnet50,gpu,2024-11-14 23:26:59.396673+00:00,2024-11-14 23:26:59.399157+00:00,2024-11-14 23:26:59.404153+00:00,cat_1.jpg,441x350,0.0211,64.68,"tabby, tabby cat","tabby, tabby cat",47.39336493
1,resnet50,gpu,2024-11-14 23:26:59.442284+00:00,2024-11-14 23:26:59.447898+00:00,2024-11-14 23:26:59.452316+00:00,cat_2.jpg,356x500,0.0201,99.544,Persian cat,Persian cat,49.75124378
1,resnet50,gpu,2024-11-14 23:26:59.489013+00:00,2024-11-14 23:26:59.493768+00:00,2024-11-14 23:26:59.498365+00:00,dog_0.jpg,375x500,0.022,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",45.45454545
1,resnet50,gpu,2024-11-14 23:26:59.537162+00:00,2024-11-14 23:26:59.542065+00:00,2024-11-14 23:26:59.549729+00:00,dog_1.jpg,375x500,0.0229,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",43.66812227
2,resnet50,gpu,2024-11-14 23:26:59.590966+00:00,2024-11-14 23:26:59.594040+00:00,2024-11-14 23:26:59.600107+00:00,1.jpg,499x381,0.0236,19.457,Border collie,Border collie,42.37288136
2,resnet50,gpu,2024-11-14 23:26:59.641778+00:00,2024-11-14 23:26:59.650003+00:00,2024-11-14 23:26:59.657094+00:00,cat_0.jpg,640x481,0.0221,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",45.24886878
2,resnet50,gpu,2024-11-14 23:26:59.696619+00:00,2024-11-14 23:26:59.699523+00:00,2024-11-14 23:26:59.704467+00:00,cat_1.jpg,441x350,0.0235,64.68,"tabby, tabby cat","tabby, tabby cat",42.55319149
2,resnet50,gpu,2024-11-14 23:26:59.743028+00:00,2024-11-14 23:26:59.749021+00:00,2024-11-14 23:26:59.755930+00:00,cat_2.jpg,356x500,0.0226,99.544,Persian cat,Persian cat,44.24778761
2,resnet50,gpu,2024-11-14 23:26:59.781171+00:00,2024-11-14 23:26:59.785644+00:00,2024-11-14 23:26:59.790264+00:00,dog_0.jpg,375x500,0.0204,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.01960784
2,resnet50,gpu,2024-11-14 23:26:59.813083+00:00,2024-11-14 23:26:59.817660+00:00,2024-11-14 23:26:59.822278+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
3,resnet50,gpu,2024-11-14 23:26:59.858489+00:00,2024-11-14 23:26:59.861071+00:00,2024-11-14 23:26:59.867252+00:00,1.jpg,499x381,0.022,19.457,Border collie,Border collie,45.45454545
3,resnet50,gpu,2024-11-14 23:26:59.904683+00:00,2024-11-14 23:26:59.912570+00:00,2024-11-14 23:26:59.918421+00:00,cat_0.jpg,640x481,0.0213,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.94835681
3,resnet50,gpu,2024-11-14 23:26:59.954760+00:00,2024-11-14 23:26:59.957428+00:00,2024-11-14 23:26:59.963632+00:00,cat_1.jpg,441x350,0.0221,64.68,"tabby, tabby cat","tabby, tabby cat",45.24886878
3,resnet50,gpu,2024-11-14 23:26:59.988483+00:00,2024-11-14 23:26:59.993733+00:00,2024-11-14 23:26:59.998306+00:00,cat_2.jpg,356x500,0.0203,99.544,Persian cat,Persian cat,49.26108374
3,resnet50,gpu,2024-11-14 23:27:00.021017+00:00,2024-11-14 23:27:00.025474+00:00,2024-11-14 23:27:00.030102+00:00,dog_0.jpg,375x500,0.0201,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.75124378
3,resnet50,gpu,2024-11-14 23:27:00.056284+00:00,2024-11-14 23:27:00.060907+00:00,2024-11-14 23:27:00.065475+00:00,dog_1.jpg,375x500,0.0201,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.75124378
4,resnet50,gpu,2024-11-14 23:27:00.093231+00:00,2024-11-14 23:27:00.095448+00:00,2024-11-14 23:27:00.099725+00:00,1.jpg,499x381,0.0202,19.457,Border collie,Border collie,49.5049505
4,resnet50,gpu,2024-11-14 23:27:00.127237+00:00,2024-11-14 23:27:00.134490+00:00,2024-11-14 23:27:00.139825+00:00,cat_0.jpg,640x481,0.0204,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",49.01960784
4,resnet50,gpu,2024-11-14 23:27:00.167858+00:00,2024-11-14 23:27:00.170196+00:00,2024-11-14 23:27:00.174479+00:00,cat_1.jpg,441x350,0.0202,64.68,"tabby, tabby cat","tabby, tabby cat",49.5049505
4,resnet50,gpu,2024-11-14 23:27:00.202052+00:00,2024-11-14 23:27:00.207237+00:00,2024-11-14 23:27:00.214031+00:00,cat_2.jpg,356x500,0.0199,99.544,Persian cat,Persian cat,50.25125628
4,resnet50,gpu,2024-11-14 23:27:00.241655+00:00,2024-11-14 23:27:00.246099+00:00,2024-11-14 23:27:00.250579+00:00,dog_0.jpg,375x500,0.02,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",50
4,resnet50,gpu,2024-11-14 23:27:00.278357+00:00,2024-11-14 23:27:00.282915+00:00,2024-11-14 23:27:00.287491+00:00,dog_1.jpg,375x500,0.02,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",50
5,resnet50,gpu,2024-11-14 23:27:00.315409+00:00,2024-11-14 23:27:00.317688+00:00,2024-11-14 23:27:00.322576+00:00,1.jpg,499x381,0.0201,19.457,Border collie,Border collie,49.75124378
5,resnet50,gpu,2024-11-14 23:27:00.350128+00:00,2024-11-14 23:27:00.357341+00:00,2024-11-14 23:27:00.362702+00:00,cat_0.jpg,640x481,0.0214,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.72897196
5,resnet50,gpu,2024-11-14 23:27:00.390791+00:00,2024-11-14 23:27:00.393140+00:00,2024-11-14 23:27:00.397709+00:00,cat_1.jpg,441x350,0.0201,64.68,"tabby, tabby cat","tabby, tabby cat",49.75124378
5,resnet50,gpu,2024-11-14 23:27:00.425310+00:00,2024-11-14 23:27:00.430493+00:00,2024-11-14 23:27:00.435044+00:00,cat_2.jpg,356x500,0.0202,99.544,Persian cat,Persian cat,49.5049505
5,resnet50,gpu,2024-11-14 23:27:00.462629+00:00,2024-11-14 23:27:00.467094+00:00,2024-11-14 23:27:00.472339+00:00,dog_0.jpg,375x500,0.0202,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",49.5049505
5,resnet50,gpu,2024-11-14 23:27:00.500184+00:00,2024-11-14 23:27:00.504788+00:00,2024-11-14 23:27:00.509372+00:00,dog_1.jpg,375x500,0.0202,88.923,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog",49.5049505
6,resnet50,gpu,2024-11-14 23:27:00.537128+00:00,2024-11-14 23:27:00.539369+00:00,2024-11-14 23:27:00.543848+00:00,1.jpg,499x381,0.0199,19.457,Border collie,Border collie,50.25125628
6,resnet50,gpu,2024-11-14 23:27:00.571341+00:00,2024-11-14 23:27:00.578624+00:00,2024-11-14 23:27:00.583877+00:00,cat_0.jpg,640x481,0.0213,18.875,"pop bottle, soda bottle","pop bottle, soda bottle",46.94835681
6,resnet50,gpu,2024-11-14 23:27:00.612006+00:00,2024-11-14 23:27:00.614350+00:00,2024-11-14 23:27:00.618988+00:00,cat_1.jpg,441x350,0.02,64.68,"tabby, tabby cat","tabby, tabby cat",50
6,resnet50,gpu,2024-11-14 23:27:00.646549+00:00,2024-11-14 23:27:00.651734+00:00,2024-11-14 23:27:00.656248+00:00,cat_2.jpg,356x500,0.0201,99.544,Persian cat,Persian cat,49.75124378
6,resnet50,gpu,2024-11-14 23:27:00.683837+00:00,2024-11-14 23:27:00.688282+00:00,2024-11-14 23:27:00.692741+00:00,dog_0.jpg,375x500,0.02,95.687,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute",50
