Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class
1,mobilenetv3,gpu,2024-11-12 02:00:37.887235+00:00,2024-11-12 02:00:37.915838+00:00,2024-11-12 02:00:37.938058+00:00,1.jpg,499x381,0.8225,40.294,Italian greyhound,Italian greyhound
1,mobilenetv3,gpu,2024-11-12 02:00:38.782412+00:00,2024-11-12 02:00:38.790848+00:00,2024-11-12 02:00:38.798553+00:00,cat_0.jpg,640x481,0.0341,14.489,water jug,water jug
1,mobilenetv3,gpu,2024-11-12 02:00:38.818375+00:00,2024-11-12 02:00:38.820844+00:00,2024-11-12 02:00:38.824954+00:00,cat_1.jpg,441x350,0.0241,53.58,"tabby, tabby cat","tabby, tabby cat"
1,mobilenetv3,gpu,2024-11-12 02:00:38.844286+00:00,2024-11-12 02:00:38.849484+00:00,2024-11-12 02:00:38.853853+00:00,cat_2.jpg,356x500,0.0271,99.131,Persian cat,Persian cat
1,mobilenetv3,gpu,2024-11-12 02:00:38.872833+00:00,2024-11-12 02:00:38.877275+00:00,2024-11-12 02:00:38.881689+00:00,dog_0.jpg,375x500,0.0274,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
1,mobilenetv3,gpu,2024-11-12 02:00:38.902114+00:00,2024-11-12 02:00:38.906711+00:00,2024-11-12 02:00:38.911194+00:00,dog_1.jpg,375x500,0.0268,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
2,mobilenetv3,gpu,2024-11-12 02:00:38.930950+00:00,2024-11-12 02:00:38.933217+00:00,2024-11-12 02:00:38.937618+00:00,1.jpg,499x381,0.0245,40.294,Italian greyhound,Italian greyhound
2,mobilenetv3,gpu,2024-11-12 02:00:38.957259+00:00,2024-11-12 02:00:38.964721+00:00,2024-11-12 02:00:38.969889+00:00,cat_0.jpg,640x481,0.0318,14.489,water jug,water jug
2,mobilenetv3,gpu,2024-11-12 02:00:38.991485+00:00,2024-11-12 02:00:38.993840+00:00,2024-11-12 02:00:39.000715+00:00,cat_1.jpg,441x350,0.0288,53.58,"tabby, tabby cat","tabby, tabby cat"
2,mobilenetv3,gpu,2024-11-12 02:00:39.022090+00:00,2024-11-12 02:00:39.027364+00:00,2024-11-12 02:00:39.032425+00:00,cat_2.jpg,356x500,0.0277,99.131,Persian cat,Persian cat
2,mobilenetv3,gpu,2024-11-12 02:00:39.051236+00:00,2024-11-12 02:00:39.055676+00:00,2024-11-12 02:00:39.059997+00:00,dog_0.jpg,375x500,0.0263,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
2,mobilenetv3,gpu,2024-11-12 02:00:39.078859+00:00,2024-11-12 02:00:39.083424+00:00,2024-11-12 02:00:39.088096+00:00,dog_1.jpg,375x500,0.0267,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
3,mobilenetv3,gpu,2024-11-12 02:00:39.107482+00:00,2024-11-12 02:00:39.109725+00:00,2024-11-12 02:00:39.114357+00:00,1.jpg,499x381,0.0242,40.294,Italian greyhound,Italian greyhound
3,mobilenetv3,gpu,2024-11-12 02:00:39.133295+00:00,2024-11-12 02:00:39.140549+00:00,2024-11-12 02:00:39.145930+00:00,cat_0.jpg,640x481,0.0302,14.489,water jug,water jug
3,mobilenetv3,gpu,2024-11-12 02:00:39.165161+00:00,2024-11-12 02:00:39.167499+00:00,2024-11-12 02:00:39.171847+00:00,cat_1.jpg,441x350,0.0241,53.58,"tabby, tabby cat","tabby, tabby cat"
3,mobilenetv3,gpu,2024-11-12 02:00:39.190603+00:00,2024-11-12 02:00:39.196632+00:00,2024-11-12 02:00:39.201131+00:00,cat_2.jpg,356x500,0.0285,99.131,Persian cat,Persian cat
3,mobilenetv3,gpu,2024-11-12 02:00:39.220530+00:00,2024-11-12 02:00:39.224951+00:00,2024-11-12 02:00:39.229438+00:00,dog_0.jpg,375x500,0.0264,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
3,mobilenetv3,gpu,2024-11-12 02:00:39.248353+00:00,2024-11-12 02:00:39.252902+00:00,2024-11-12 02:00:39.258745+00:00,dog_1.jpg,375x500,0.028,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
4,mobilenetv3,gpu,2024-11-12 02:00:39.278130+00:00,2024-11-12 02:00:39.280398+00:00,2024-11-12 02:00:39.284999+00:00,1.jpg,499x381,0.0243,40.294,Italian greyhound,Italian greyhound
4,mobilenetv3,gpu,2024-11-12 02:00:39.303835+00:00,2024-11-12 02:00:39.311099+00:00,2024-11-12 02:00:39.316498+00:00,cat_0.jpg,640x481,0.0303,14.489,water jug,water jug
4,mobilenetv3,gpu,2024-11-12 02:00:39.335602+00:00,2024-11-12 02:00:39.337910+00:00,2024-11-12 02:00:39.342216+00:00,cat_1.jpg,441x350,0.0241,53.58,"tabby, tabby cat","tabby, tabby cat"
4,mobilenetv3,gpu,2024-11-12 02:00:39.361334+00:00,2024-11-12 02:00:39.366544+00:00,2024-11-12 02:00:39.373117+00:00,cat_2.jpg,356x500,0.0298,99.131,Persian cat,Persian cat
4,mobilenetv3,gpu,2024-11-12 02:00:39.392693+00:00,2024-11-12 02:00:39.397208+00:00,2024-11-12 02:00:39.405228+00:00,dog_0.jpg,375x500,0.0319,69.591,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
4,mobilenetv3,gpu,2024-11-12 02:00:39.426257+00:00,2024-11-12 02:00:39.431089+00:00,2024-11-12 02:00:39.437807+00:00,dog_1.jpg,375x500,0.0295,81.698,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
5,mobilenetv3,gpu,2024-11-12 02:00:39.457393+00:00,2024-11-12 02:00:39.459766+00:00,2024-11-12 02:00:39.466716+00:00,1.jpg,499x381,0.0269,40.294,Italian greyhound,Italian greyhound
5,mobilenetv3,gpu,2024-11-12 02:00:39.485986+00:00,2024-11-12 02:00:39.493379+00:00,2024-11-12 02:00:39.498837+00:00,cat_0.jpg,640x481,0.0305,14.489,water jug,water jug
