Loaded PyTorch resnet18 pretrained on ImageNet

Benchmarking at Target FPS: 1

Loaded jetson_variables variables
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 57, 53, 2483), 'uptime': datetime.timedelta(seconds=13266, microseconds=450000), 'CPU1': 0, 'CPU2': 1, 'CPU3': 3, 'CPU4': 2, 'CPU5': 2, 'CPU6': 3, 'RAM': 0.5961054806248045, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.531, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.843, 'Temp soc0': 36.625, 'Temp soc1': 36.781, 'Temp soc2': 38.562, 'Temp tj': 38.843, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 57, 54, 4331), 'uptime': datetime.timedelta(seconds=13267, microseconds=450000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 0, 'CPU4': 1, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5961649467624277, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.5, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.75, 'Temp soc0': 36.656, 'Temp soc1': 36.812, 'Temp soc2': 38.5, 'Temp tj': 38.75, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 57, 55, 6142), 'uptime': datetime.timedelta(seconds=13268, microseconds=450000), 'CPU1': 1, 'CPU2': 1, 'CPU3': 2, 'CPU4': 3, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.5962941318200227, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.406, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.0, 'Temp soc0': 36.625, 'Temp soc1': 36.75, 'Temp soc2': 38.5, 'Temp tj': 39.0, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 57, 56, 7907), 'uptime': datetime.timedelta(seconds=13269, microseconds=450000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 3, 'CPU4': 0, 'CPU5': 4, 'CPU6': 1, 'RAM': 0.5962941318200227, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.437, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.718, 'Temp soc0': 36.531, 'Temp soc1': 36.781, 'Temp soc2': 38.468, 'Temp tj': 38.718, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 57, 57, 9676), 'uptime': datetime.timedelta(seconds=13270, microseconds=450000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5960137182227827, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.406, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.656, 'Temp soc0': 36.625, 'Temp soc1': 37.062, 'Temp soc2': 38.468, 'Temp tj': 38.656, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 57, 58, 11455), 'uptime': datetime.timedelta(seconds=13271, microseconds=450000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 5, 'CPU4': 2, 'CPU5': 3, 'CPU6': 0, 'RAM': 0.5960137182227827, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.812, 'Temp soc0': 36.593, 'Temp soc1': 37.031, 'Temp soc2': 38.562, 'Temp tj': 38.812, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 57, 59, 13268), 'uptime': datetime.timedelta(seconds=13272, microseconds=450000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 2, 'CPU4': 0, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5961429032803777, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.656, 'Temp soc0': 36.562, 'Temp soc1': 37.0, 'Temp soc2': 38.593, 'Temp tj': 38.656, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 0, 15020), 'uptime': datetime.timedelta(seconds=13273, microseconds=460000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 3, 'CPU4': 1, 'CPU5': 2, 'CPU6': 4, 'RAM': 0.5961423906412603, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.437, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.781, 'Temp soc0': 36.687, 'Temp soc1': 36.875, 'Temp soc2': 38.531, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 1, 16810), 'uptime': datetime.timedelta(seconds=13274, microseconds=460000), 'CPU1': 0, 'CPU2': 1, 'CPU3': 2, 'CPU4': 1, 'CPU5': 5, 'CPU6': 0, 'RAM': 0.5960449892089466, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.437, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.687, 'Temp soc0': 36.656, 'Temp soc1': 36.875, 'Temp soc2': 38.437, 'Temp tj': 38.687, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1280, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 2, 18610), 'uptime': datetime.timedelta(seconds=13275, microseconds=460000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 1, 'CPU4': 1, 'CPU5': 2, 'CPU6': 2, 'RAM': 0.5960470397654163, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.375, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.843, 'Temp soc0': 36.593, 'Temp soc1': 36.781, 'Temp soc2': 38.437, 'Temp tj': 38.843, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
Jetson stats: {'time': datetime.datetime(2024, 11, 27, 21, 58, 3, 20448), 'uptime': datetime.timedelta(seconds=13276, microseconds=460000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 2, 'CPU4': 1, 'CPU5': 4, 'CPU6': 3, 'RAM': 0.5960378122613024, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.468, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.593, 'Temp soc1': 36.843, 'Temp soc2': 38.5, 'Temp tj': 38.625, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
