Loaded PyTorch resnet50 pretrained on ImageNet

Benchmarking at Target FPS: 1

Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 28, 0, 41, 12, 279727), 'uptime': datetime.timedelta(seconds=23065, microseconds=720000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 10, 'CPU4': 17, 'CPU5': 2, 'CPU6': 13, 'RAM': 0.6571033839308142, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 40.062, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 40.156, 'Temp soc0': 37.875, 'Temp soc1': 38.406, 'Temp soc2': 40.062, 'Temp tj': 40.156, 'Power VDD_CPU_GPU_CV': 1078, 'Power VDD_SOC': 1357, 'Power TOT': 4353, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 13, 280981), 'uptime': datetime.timedelta(seconds=23066, microseconds=720000), 'CPU1': 3, 'CPU2': 0, 'CPU3': 0, 'CPU4': 1, 'CPU5': 3, 'CPU6': 2, 'RAM': 0.6573617540460043, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.875, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 40.25, 'Temp soc0': 38.031, 'Temp soc1': 38.281, 'Temp soc2': 39.937, 'Temp tj': 40.25, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 14, 282950), 'uptime': datetime.timedelta(seconds=23067, microseconds=720000), 'CPU1': 2, 'CPU2': 1, 'CPU3': 1, 'CPU4': 1, 'CPU5': 2, 'CPU6': 0, 'RAM': 0.6573294577816055, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.843, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 40.093, 'Temp soc0': 38.062, 'Temp soc1': 38.156, 'Temp soc2': 39.906, 'Temp tj': 40.093, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 15, 284920), 'uptime': datetime.timedelta(seconds=23068, microseconds=720000), 'CPU1': 4, 'CPU2': 0, 'CPU3': 1, 'CPU4': 1, 'CPU5': 2, 'CPU6': 2, 'RAM': 0.6574858127124248, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.75, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.937, 'Temp soc0': 37.968, 'Temp soc1': 38.093, 'Temp soc2': 39.875, 'Temp tj': 39.937, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 16, 286801), 'uptime': datetime.timedelta(seconds=23069, microseconds=720000), 'CPU1': 1, 'CPU2': 3, 'CPU3': 3, 'CPU4': 1, 'CPU5': 2, 'CPU6': 2, 'RAM': 0.6575129825856492, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.812, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 40.093, 'Temp soc0': 37.843, 'Temp soc1': 38.156, 'Temp soc2': 39.812, 'Temp tj': 40.093, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 17, 288686), 'uptime': datetime.timedelta(seconds=23070, microseconds=720000), 'CPU1': 0, 'CPU2': 2, 'CPU3': 2, 'CPU4': 1, 'CPU5': 1, 'CPU6': 2, 'RAM': 0.6575375892632863, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.718, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.937, 'Temp soc0': 37.843, 'Temp soc1': 38.093, 'Temp soc2': 39.843, 'Temp tj': 39.937, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 18, 290571), 'uptime': datetime.timedelta(seconds=23071, microseconds=720000), 'CPU1': 0, 'CPU2': 2, 'CPU3': 3, 'CPU4': 1, 'CPU5': 2, 'CPU6': 0, 'RAM': 0.6575950048444397, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.718, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 40.062, 'Temp soc0': 37.812, 'Temp soc1': 38.093, 'Temp soc2': 39.812, 'Temp tj': 40.062, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 19, 292467), 'uptime': datetime.timedelta(seconds=23072, microseconds=730000), 'CPU1': 1, 'CPU2': 2, 'CPU3': 2, 'CPU4': 0, 'CPU5': 2, 'CPU6': 0, 'RAM': 0.6574632565912575, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.625, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.937, 'Temp soc0': 37.843, 'Temp soc1': 38.375, 'Temp soc2': 39.875, 'Temp tj': 39.937, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 20, 294350), 'uptime': datetime.timedelta(seconds=23073, microseconds=730000), 'CPU1': 1, 'CPU2': 3, 'CPU3': 3, 'CPU4': 2, 'CPU5': 0, 'CPU6': 1, 'RAM': 0.6574878632688946, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.968, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.843, 'Temp soc0': 37.781, 'Temp soc1': 38.187, 'Temp soc2': 39.875, 'Temp tj': 40.062, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 21, 296155), 'uptime': datetime.timedelta(seconds=23074, microseconds=730000), 'CPU1': 1, 'CPU2': 2, 'CPU3': 2, 'CPU4': 1, 'CPU5': 0, 'CPU6': 1, 'RAM': 0.6575134952247667, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.843, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 40.093, 'Temp soc0': 38.0, 'Temp soc1': 38.125, 'Temp soc2': 39.781, 'Temp tj': 40.093, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4040, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 0, 41, 22, 298076), 'uptime': datetime.timedelta(seconds=23075, microseconds=730000), 'CPU1': 0, 'CPU2': 2, 'CPU3': 3, 'CPU4': 0, 'CPU5': 1, 'CPU6': 3, 'RAM': 0.6575063182771225, 'SWAP': 0.0003280900443126616, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.687, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.812, 'Temp soc0': 37.843, 'Temp soc1': 38.156, 'Temp soc2': 39.687, 'Temp tj': 39.812, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4079, 'jetson_clocks': 'ON', 'nvp model': '15W'}
