Device: cpu
Before loading model: 2024-11-29 01:32:17.304764+00:00
After loading model: 2024-11-29 01:32:32.104417+00:00
Loaded PyTorch resnext50 pretrained on ImageNet
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 29, 1, 32, 38, 511081), 'uptime': datetime.timedelta(seconds=8870, microseconds=870000), 'CPU1': 5, 'CPU2': 100, 'CPU3': 6, 'CPU4': 7, 'CPU5': 7, 'CPU6': 5, 'RAM': 0.38011555905061334, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.687, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.593, 'Temp soc0': 36.562, 'Temp soc1': 36.687, 'Temp soc2': 38.468, 'Temp tj': 38.687, 'Power VDD_CPU_GPU_CV': 1584, 'Power VDD_SOC': 1349, 'Power TOT': 4880, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 32, 44, 595627), 'uptime': datetime.timedelta(seconds=8876, microseconds=880000), 'CPU1': 3, 'CPU2': 100, 'CPU3': 5, 'CPU4': 5, 'CPU5': 3, 'CPU6': 4, 'RAM': 0.3801750251577518, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.937, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.468, 'Temp soc1': 36.781, 'Temp soc2': 38.593, 'Temp tj': 38.937, 'Power VDD_CPU_GPU_CV': 1584, 'Power VDD_SOC': 1349, 'Power TOT': 4840, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 32, 50, 714024), 'uptime': datetime.timedelta(seconds=8882, microseconds=880000), 'CPU1': 2, 'CPU2': 100, 'CPU3': 2, 'CPU4': 2, 'CPU5': 4, 'CPU6': 3, 'RAM': 0.3802708886235698, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.781, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.625, 'Temp soc0': 36.562, 'Temp soc1': 36.718, 'Temp soc2': 38.406, 'Temp tj': 38.718, 'Power VDD_CPU_GPU_CV': 1584, 'Power VDD_SOC': 1349, 'Power TOT': 4801, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 32, 56, 819908), 'uptime': datetime.timedelta(seconds=8888, microseconds=890000), 'CPU1': 100, 'CPU2': 0, 'CPU3': 3, 'CPU4': 3, 'CPU5': 4, 'CPU6': 3, 'RAM': 0.38035598667344034, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.718, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.906, 'Temp soc0': 36.562, 'Temp soc1': 36.812, 'Temp soc2': 38.562, 'Temp tj': 38.906, 'Power VDD_CPU_GPU_CV': 1545, 'Power VDD_SOC': 1349, 'Power TOT': 4880, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 33, 2, 905844), 'uptime': datetime.timedelta(seconds=8894, microseconds=890000), 'CPU1': 100, 'CPU2': 4, 'CPU3': 7, 'CPU4': 7, 'CPU5': 5, 'CPU6': 5, 'RAM': 0.3804913233310658, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.781, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.656, 'Temp soc0': 36.718, 'Temp soc1': 36.875, 'Temp soc2': 38.593, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 1584, 'Power VDD_SOC': 1349, 'Power TOT': 4840, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 33, 8, 999737), 'uptime': datetime.timedelta(seconds=8900, microseconds=900000), 'CPU1': 19, 'CPU2': 85, 'CPU3': 7, 'CPU4': 4, 'CPU5': 3, 'CPU6': 5, 'RAM': 0.38043134458507266, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.75, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.781, 'Temp soc0': 36.625, 'Temp soc1': 36.937, 'Temp soc2': 38.625, 'Temp tj': 38.781, 'Power VDD_CPU_GPU_CV': 1545, 'Power VDD_SOC': 1349, 'Power TOT': 4840, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 33, 15, 138621), 'uptime': datetime.timedelta(seconds=8906, microseconds=910000), 'CPU1': 100, 'CPU2': 4, 'CPU3': 6, 'CPU4': 4, 'CPU5': 3, 'CPU6': 4, 'RAM': 0.38042570555767163, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.812, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.906, 'Temp soc0': 36.687, 'Temp soc1': 36.843, 'Temp soc2': 38.687, 'Temp tj': 38.906, 'Power VDD_CPU_GPU_CV': 1545, 'Power VDD_SOC': 1349, 'Power TOT': 4801, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 33, 21, 202486), 'uptime': datetime.timedelta(seconds=8912, microseconds=910000), 'CPU1': 3, 'CPU2': 100, 'CPU3': 4, 'CPU4': 5, 'CPU5': 3, 'CPU6': 3, 'RAM': 0.3802467945974016, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.937, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.187, 'Temp soc0': 36.75, 'Temp soc1': 36.937, 'Temp soc2': 38.656, 'Temp tj': 39.187, 'Power VDD_CPU_GPU_CV': 1545, 'Power VDD_SOC': 1309, 'Power TOT': 4840, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 33, 27, 264575), 'uptime': datetime.timedelta(seconds=8918, microseconds=920000), 'CPU1': 2, 'CPU2': 100, 'CPU3': 2, 'CPU4': 5, 'CPU5': 4, 'CPU6': 3, 'RAM': 0.38033240528612683, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.0, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.093, 'Temp soc0': 36.906, 'Temp soc1': 37.093, 'Temp soc2': 38.718, 'Temp tj': 39.093, 'Power VDD_CPU_GPU_CV': 1545, 'Power VDD_SOC': 1309, 'Power TOT': 4801, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 33, 33, 337285), 'uptime': datetime.timedelta(seconds=8924, microseconds=920000), 'CPU1': 5, 'CPU2': 100, 'CPU3': 7, 'CPU4': 5, 'CPU5': 9, 'CPU6': 7, 'RAM': 0.37994741350629085, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.875, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.812, 'Temp soc0': 36.75, 'Temp soc1': 37.187, 'Temp soc2': 38.812, 'Temp tj': 38.875, 'Power VDD_CPU_GPU_CV': 1584, 'Power VDD_SOC': 1309, 'Power TOT': 4840, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 33, 39, 377164), 'uptime': datetime.timedelta(seconds=8930, microseconds=930000), 'CPU1': 3, 'CPU2': 100, 'CPU3': 4, 'CPU4': 5, 'CPU5': 4, 'CPU6': 4, 'RAM': 0.37995510308911046, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.218, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.0, 'Temp soc0': 36.812, 'Temp soc1': 37.093, 'Temp soc2': 38.812, 'Temp tj': 39.0, 'Power VDD_CPU_GPU_CV': 1584, 'Power VDD_SOC': 1309, 'Power TOT': 4801, 'jetson_clocks': 'ON', 'nvp model': '15W'}
