Device: cpu
Before loading model: 2024-11-29 01:41:35.839957+00:00
After loading model: 2024-11-29 01:41:35.896281+00:00
Loaded PyTorch squeezenet pretrained on ImageNet
Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 29, 1, 41, 37, 455470), 'uptime': datetime.timedelta(seconds=9409, microseconds=400000), 'CPU1': 21, 'CPU2': 5, 'CPU3': 14, 'CPU4': 6, 'CPU5': 5, 'CPU6': 4, 'RAM': 0.37367630239745814, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.656, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.875, 'Temp soc0': 36.812, 'Temp soc1': 37.218, 'Temp soc2': 38.781, 'Temp tj': 38.875, 'Power VDD_CPU_GPU_CV': 1038, 'Power VDD_SOC': 1317, 'Power TOT': 4273, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 37, 951649), 'uptime': datetime.timedelta(seconds=9410, microseconds=400000), 'CPU1': 8, 'CPU2': 96, 'CPU3': 5, 'CPU4': 4, 'CPU5': 6, 'CPU6': 6, 'RAM': 0.3737352558657419, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.125, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.0, 'Temp soc0': 36.718, 'Temp soc1': 37.187, 'Temp soc2': 38.812, 'Temp tj': 39.125, 'Power VDD_CPU_GPU_CV': 1426, 'Power VDD_SOC': 1309, 'Power TOT': 4642, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 38, 456105), 'uptime': datetime.timedelta(seconds=9410, microseconds=400000), 'CPU1': 8, 'CPU2': 96, 'CPU3': 5, 'CPU4': 4, 'CPU5': 6, 'CPU6': 6, 'RAM': 0.3737352558657419, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.125, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.0, 'Temp soc0': 36.718, 'Temp soc1': 37.187, 'Temp soc2': 38.812, 'Temp tj': 39.125, 'Power VDD_CPU_GPU_CV': 1426, 'Power VDD_SOC': 1309, 'Power TOT': 4642, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 38, 953662), 'uptime': datetime.timedelta(seconds=9411, microseconds=400000), 'CPU1': 8, 'CPU2': 100, 'CPU3': 5, 'CPU4': 6, 'CPU5': 6, 'CPU6': 5, 'RAM': 0.37373679378230584, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.093, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.875, 'Temp soc0': 37.0, 'Temp soc1': 37.125, 'Temp soc2': 38.781, 'Temp tj': 39.093, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1309, 'Power TOT': 4682, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 39, 450609), 'uptime': datetime.timedelta(seconds=9411, microseconds=400000), 'CPU1': 8, 'CPU2': 100, 'CPU3': 5, 'CPU4': 6, 'CPU5': 6, 'CPU6': 5, 'RAM': 0.37373679378230584, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.093, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.875, 'Temp soc0': 37.0, 'Temp soc1': 37.125, 'Temp soc2': 38.781, 'Temp tj': 39.093, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1309, 'Power TOT': 4682, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 39, 947905), 'uptime': datetime.timedelta(seconds=9411, microseconds=400000), 'CPU1': 8, 'CPU2': 100, 'CPU3': 5, 'CPU4': 6, 'CPU5': 6, 'CPU6': 5, 'RAM': 0.37373679378230584, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.093, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.875, 'Temp soc0': 37.0, 'Temp soc1': 37.125, 'Temp soc2': 38.781, 'Temp tj': 39.093, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1309, 'Power TOT': 4682, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 40, 446521), 'uptime': datetime.timedelta(seconds=9412, microseconds=400000), 'CPU1': 5, 'CPU2': 100, 'CPU3': 4, 'CPU4': 4, 'CPU5': 5, 'CPU6': 5, 'RAM': 0.3737588372530555, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.0, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.062, 'Temp soc0': 36.937, 'Temp soc1': 37.25, 'Temp soc2': 38.781, 'Temp tj': 39.062, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1307, 'Power TOT': 4682, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 40, 943463), 'uptime': datetime.timedelta(seconds=9412, microseconds=400000), 'CPU1': 5, 'CPU2': 100, 'CPU3': 4, 'CPU4': 4, 'CPU5': 5, 'CPU6': 5, 'RAM': 0.3737588372530555, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.0, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.062, 'Temp soc0': 36.937, 'Temp soc1': 37.25, 'Temp soc2': 38.781, 'Temp tj': 39.062, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1307, 'Power TOT': 4682, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 41, 444228), 'uptime': datetime.timedelta(seconds=9413, microseconds=400000), 'CPU1': 5, 'CPU2': 100, 'CPU3': 4, 'CPU4': 3, 'CPU5': 7, 'CPU6': 5, 'RAM': 0.37362913962283106, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.937, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.937, 'Temp soc0': 36.937, 'Temp soc1': 37.093, 'Temp soc2': 38.812, 'Temp tj': 38.937, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1309, 'Power TOT': 4721, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 41, 945338), 'uptime': datetime.timedelta(seconds=9413, microseconds=400000), 'CPU1': 5, 'CPU2': 100, 'CPU3': 4, 'CPU4': 3, 'CPU5': 7, 'CPU6': 5, 'RAM': 0.37362913962283106, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.937, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 38.937, 'Temp soc0': 36.937, 'Temp soc1': 37.093, 'Temp soc2': 38.812, 'Temp tj': 38.937, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1309, 'Power TOT': 4721, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 29, 1, 41, 42, 446643), 'uptime': datetime.timedelta(seconds=9414, microseconds=400000), 'CPU1': 66, 'CPU2': 40, 'CPU3': 4, 'CPU4': 4, 'CPU5': 5, 'CPU6': 5, 'RAM': 0.3738270182207228, 'SWAP': 0.0, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.875, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.187, 'Temp soc0': 36.875, 'Temp soc1': 37.093, 'Temp soc2': 38.781, 'Temp tj': 39.187, 'Power VDD_CPU_GPU_CV': 1465, 'Power VDD_SOC': 1309, 'Power TOT': 4682, 'jetson_clocks': 'ON', 'nvp model': '15W'}
