Loaded PyTorch squeezenet pretrained on ImageNet

Benchmarking at Target FPS: 1

Loaded jetson_variables variables
{'time': datetime.datetime(2024, 11, 28, 1, 0, 0, 380684), 'uptime': datetime.timedelta(seconds=24193, microseconds=820000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 6, 'CPU4': 10, 'CPU5': 6, 'CPU6': 15, 'RAM': 0.5345585408240161, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.187, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.375, 'Temp soc0': 37.281, 'Temp soc1': 37.5, 'Temp soc2': 39.218, 'Temp tj': 39.375, 'Power VDD_CPU_GPU_CV': 1038, 'Power VDD_SOC': 1317, 'Power TOT': 4240, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 1, 382555), 'uptime': datetime.timedelta(seconds=24194, microseconds=820000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 3, 'CPU4': 1, 'CPU5': 3, 'CPU6': 0, 'RAM': 0.5345908370884148, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.062, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.593, 'Temp soc0': 37.187, 'Temp soc1': 37.687, 'Temp soc2': 39.187, 'Temp tj': 39.593, 'Power VDD_CPU_GPU_CV': 960, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 2, 384330), 'uptime': datetime.timedelta(seconds=24195, microseconds=820000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 3, 'CPU4': 4, 'CPU5': 0, 'CPU6': 1, 'RAM': 0.5345908370884148, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.343, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.406, 'Temp soc0': 37.218, 'Temp soc1': 37.593, 'Temp soc2': 39.218, 'Temp tj': 39.406, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 3, 386084), 'uptime': datetime.timedelta(seconds=24196, microseconds=830000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 4, 'CPU4': 2, 'CPU5': 2, 'CPU6': 0, 'RAM': 0.5346231333528136, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.156, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.593, 'Temp soc0': 37.375, 'Temp soc1': 37.656, 'Temp soc2': 39.25, 'Temp tj': 39.593, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 4, 387845), 'uptime': datetime.timedelta(seconds=24197, microseconds=830000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 3, 'CPU4': 2, 'CPU5': 1, 'CPU6': 2, 'RAM': 0.5346231333528136, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.093, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.281, 'Temp soc0': 37.281, 'Temp soc1': 37.593, 'Temp soc2': 39.218, 'Temp tj': 39.343, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 5, 388849), 'uptime': datetime.timedelta(seconds=24198, microseconds=830000), 'CPU1': 0, 'CPU2': 1, 'CPU3': 3, 'CPU4': 3, 'CPU5': 2, 'CPU6': 1, 'RAM': 0.5347138704766006, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.156, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.25, 'Temp soc0': 37.312, 'Temp soc1': 37.531, 'Temp soc2': 39.125, 'Temp tj': 39.281, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 6, 390615), 'uptime': datetime.timedelta(seconds=24199, microseconds=830000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 2, 'CPU4': 5, 'CPU5': 1, 'CPU6': 1, 'RAM': 0.5345841727798881, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.218, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.312, 'Temp soc0': 37.218, 'Temp soc1': 37.406, 'Temp soc2': 39.093, 'Temp tj': 39.343, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 7, 392352), 'uptime': datetime.timedelta(seconds=24200, microseconds=830000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 0, 'CPU4': 4, 'CPU5': 1, 'CPU6': 1, 'RAM': 0.5347128451983657, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.093, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.437, 'Temp soc0': 37.156, 'Temp soc1': 37.468, 'Temp soc2': 39.187, 'Temp tj': 39.25, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 8, 394131), 'uptime': datetime.timedelta(seconds=24201, microseconds=830000), 'CPU1': 0, 'CPU2': 0, 'CPU3': 1, 'CPU4': 3, 'CPU5': 3, 'CPU6': 0, 'RAM': 0.5347128451983657, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.0, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.25, 'Temp soc0': 37.093, 'Temp soc1': 37.437, 'Temp soc2': 39.125, 'Temp tj': 39.531, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 9, 395882), 'uptime': datetime.timedelta(seconds=24202, microseconds=830000), 'CPU1': 1, 'CPU2': 0, 'CPU3': 2, 'CPU4': 3, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.534615443766052, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 38.937, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.406, 'Temp soc0': 37.187, 'Temp soc1': 37.625, 'Temp soc2': 39.187, 'Temp tj': 39.25, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4046, 'jetson_clocks': 'ON', 'nvp model': '15W'}
{'time': datetime.datetime(2024, 11, 28, 1, 0, 10, 397719), 'uptime': datetime.timedelta(seconds=24203, microseconds=830000), 'CPU1': 2, 'CPU2': 0, 'CPU3': 2, 'CPU4': 2, 'CPU5': 3, 'CPU6': 1, 'RAM': 0.5343237521082284, 'SWAP': 0.00039370805317519395, 'EMC': 0, 'GPU': 0.0, 'APE': 'OFF', 'NVDEC': 'OFF', 'NVJPG': 'OFF', 'NVJPG1': 'OFF', 'OFA': 'OFF', 'SE': 'OFF', 'VIC': 'OFF', 'Fan pwmfan0': 34.509803921568626, 'Temp cpu': 39.281, 'Temp cv0': -256, 'Temp cv1': -256, 'Temp cv2': -256, 'Temp gpu': 39.218, 'Temp soc0': 37.156, 'Temp soc1': 37.593, 'Temp soc2': 39.187, 'Temp tj': 39.375, 'Power VDD_CPU_GPU_CV': 920, 'Power VDD_SOC': 1320, 'Power TOT': 4086, 'jetson_clocks': 'ON', 'nvp model': '15W'}
