2025-02-18 11:09:30,951 - INFO - Time: 11:09:30 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 2048.000, raspberry_pi: 53.760 | Reason: New model request (resnet18)
2025-02-18 11:09:48,003 - INFO - Time: 11:09:48 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 686.752, raspberry_pi: 53.760 | Reason: High latency (1.71s)
2025-02-18 11:09:48,371 - INFO - Time: 11:09:48 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 662.488, raspberry_pi: 53.760 | Reason: High latency (1.57s)
2025-02-18 11:09:48,540 - INFO - Time: 11:09:48 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 700.653, raspberry_pi: 53.760 | Reason: High latency (1.43s)
2025-02-18 11:09:48,692 - INFO - Time: 11:09:48 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 739.547, raspberry_pi: 53.760 | Reason: High latency (1.30s)
2025-02-18 11:09:48,798 - INFO - Time: 11:09:48 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 780.041, raspberry_pi: 53.760 | Reason: High latency (1.18s)
2025-02-18 11:09:49,090 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 815.117, raspberry_pi: 53.760 | Reason: High latency (1.09s)
2025-02-18 11:09:49,240 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 599.483, raspberry_pi: 53.760 | Reason: High queue length (7)
2025-02-18 11:09:49,393 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 625.862, raspberry_pi: 53.760 | Reason: High queue length (7)
2025-02-18 11:09:49,485 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 653.871, raspberry_pi: 53.760 | Reason: High queue length (7)
2025-02-18 11:09:49,607 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 680.124, raspberry_pi: 53.760 | Reason: High queue length (7)
2025-02-18 11:09:49,698 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 706.888, raspberry_pi: 53.760 | Reason: High queue length (7)
2025-02-18 11:09:49,851 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 730.815, raspberry_pi: 53.760 | Reason: High queue length (7)
2025-02-18 11:09:49,990 - INFO - Time: 11:09:49 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 753.659, raspberry_pi: 53.760 | Reason: High queue length (7)
